Assay_Accessibility	Assay_H3K27ac	Audit ERROR_Accessibility	Audit ERROR_H3K27ac	Audit INTERNAL_ACTION_Accessibility	Audit INTERNAL_ACTION_H3K27ac	Audit NOT_COMPLIANT_Accessibility	Audit NOT_COMPLIANT_H3K27ac	Audit WARNING_Accessibility	Audit WARNING_H3K27ac	Biological replicate(s)_Accessibility	Biological replicate(s)_H3K27ac	Biosample genetic modifications categories	Biosample genetic modifications gene targets	Biosample genetic modifications methods	Biosample genetic modifications site coordinates_Accessibility	Biosample genetic modifications site coordinates_H3K27ac	Biosample genetic modifications targets	Biosample genetic modifications zygosity_Accessibility	Biosample genetic modifications zygosity_H3K27ac	Biosample organism	Biosample stage_Accessibility	Biosample stage_H3K27ac	Biosample summary	Biosample term id_Accessibility	Biosample term id_H3K27ac	Biosample term name	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample type_Accessibility	Biosample type_H3K27ac	Controlled by_Accessibility	Controlled by_H3K27ac	Derived from_Accessibility	Derived from_H3K27ac	Experiment accession_Accessibility	Experiment accession_H3K27ac	Experiment date released_Accessibility	Experiment date released_H3K27ac	Experiment target_Accessibility	Experiment target_H3K27ac	File Status_Accessibility	File Status_H3K27ac	File accession_Accessibility	File accession_Accessibility bam	File accession_H3K27ac	File accession_H3K27ac bam	File assembly	File download URL_Accessibility	File download URL_H3K27ac	File format	File format type_Accessibility	File format type_H3K27ac	File type	Genome annotation	Lab	Library crosslinking method_Accessibility	Library crosslinking method_H3K27ac	Library depleted in_Accessibility	Library depleted in_H3K27ac	Library extraction method_Accessibility	Library extraction method_H3K27ac	Library fragmentation method_Accessibility	Library fragmentation method_H3K27ac	Library lysis method_Accessibility	Library lysis method_H3K27ac	Library made from_Accessibility	Library made from_H3K27ac	Library size range_Accessibility	Library size range_H3K27ac	Library strand specific_Accessibility	Library strand specific_H3K27ac	Mapped read length_Accessibility	Mapped read length_H3K27ac	Output type	Paired end_Accessibility	Paired end_H3K27ac	Paired with_Accessibility	Paired with_H3K27ac	Platform_Accessibility	Platform_H3K27ac	Project_Accessibility	Project_H3K27ac	RBNS protein concentration_Accessibility	RBNS protein concentration_H3K27ac	Read length_Accessibility	Read length_H3K27ac	Run type_Accessibility	Run type_H3K27ac	Size_Accessibility	Size_H3K27ac	Technical replicate(s)_Accessibility	Technical replicate(s)_H3K27ac	dbxrefs_Accessibility	dbxrefs_H3K27ac	md5sum_Accessibility	md5sum_H3K27ac	s3_uri_Accessibility	s3_uri_H3K27ac
DNase-seq DNase-seq	ChIP-seq ChIP-seq	0.0	0.0	experiment not submitted to GEO	0.0	0.0	0.0	low spot score	mild to moderate bottlenecking	1	1	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	unknown	unknown	tibial artery	UBERON:0007610	UBERON:0007610	tibial artery	0.0	0.0	0.0	tissue	tissue	0.0	0.0	ENCFF234JON, ENCFF375DAE, ENCFF452SYM, ENCFF530SOD, ENCFF549HLL, ENCFF591BAX, ENCFF741TTG	ENCFF482NDH, ENCFF489IJG, ENCFF807MUK	ENCSR080ISA	ENCSR535GFO	2017-10-01	2018-12-11	0.0	H3K27ac-human	released	released	ENCFF500UBP	ENCFF500UBP	ENCFF694FVD	ENCFF694FVD	hg19	https://www.encodeproject.org/files/ENCFF500UBP/@@download/ENCFF500UBP.bam	https://www.encodeproject.org/files/ENCFF694FVD/@@download/ENCFF694FVD.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	76.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	7168761392	1483929615	1_1	1_1	0.0	0.0	8b51e53a3458b1219f4cc845b8e39aa6	a37b754925aa69dc63abdf6a4308bf10	s3://encode-public/2017/09/13/9dbc5da5-f28f-40d8-9e15-1d2b64388549/ENCFF500UBP.bam	s3://encode-public/2018/06/13/d4ccabd5-d772-4429-a955-3678aad17c88/ENCFF694FVD.bam
DNase-seq DNase-seq	ChIP-seq ChIP-seq	0.0	0.0	experiment not submitted to GEO	0.0	0.0	0.0	low spot score	mild to moderate bottlenecking	1	2	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	unknown	unknown	tibial artery	UBERON:0007610	UBERON:0007610	tibial artery	0.0	0.0	0.0	tissue	tissue	0.0	0.0	ENCFF234JON, ENCFF375DAE, ENCFF452SYM, ENCFF530SOD, ENCFF549HLL, ENCFF591BAX, ENCFF741TTG	ENCFF068FUW, ENCFF147IPQ, ENCFF807MUK	ENCSR080ISA	ENCSR535GFO	2017-10-01	2018-12-11	0.0	H3K27ac-human	released	released	ENCFF500UBP	ENCFF500UBP	ENCFF719WGZ	ENCFF719WGZ	hg19	https://www.encodeproject.org/files/ENCFF500UBP/@@download/ENCFF500UBP.bam	https://www.encodeproject.org/files/ENCFF719WGZ/@@download/ENCFF719WGZ.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	76.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	7168761392	4406888009	1_1	2_1	0.0	0.0	8b51e53a3458b1219f4cc845b8e39aa6	76dcb0d8b3f90fa53d51f87552008fe2	s3://encode-public/2017/09/13/9dbc5da5-f28f-40d8-9e15-1d2b64388549/ENCFF500UBP.bam	s3://encode-public/2018/06/13/4ed5eede-6475-4523-bcaf-92a65cc1f727/ENCFF719WGZ.bam
DNase-seq DNase-seq	ChIP-seq ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	low spot score	0.0	1	1	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	unknown	unknown	right atrium auricular region	UBERON:0006631	UBERON:0006631	right atrium auricular region	0.0	0.0	0.0	tissue	tissue	0.0	0.0	ENCFF053VZG, ENCFF079GRE, ENCFF228WQY, ENCFF544GTL, ENCFF549HLL	ENCFF512TUH, ENCFF559UXT, ENCFF580EXF, ENCFF807MUK, ENCFF968SEM	ENCSR278SKG	ENCSR668EVA	2017-10-01	2019-09-11	0.0	H3K27ac-human	released	released	ENCFF939WIN	ENCFF939WIN	ENCFF920WGT	ENCFF920WGT	hg19	https://www.encodeproject.org/files/ENCFF939WIN/@@download/ENCFF939WIN.bam	https://www.encodeproject.org/files/ENCFF920WGT/@@download/ENCFF920WGT.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	76.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	11224903333	1837361268	1_1	1_1	0.0	0.0	16eff218d034edafef74f69235e03856	6258991399f1b463ac97c047c319e950	s3://encode-public/2017/09/19/72082771-4f15-44af-8295-60aca9549404/ENCFF939WIN.bam	s3://encode-public/2019/06/12/fcad8e48-83d7-4509-a08d-3f1da49b4b83/ENCFF920WGT.bam
DNase-seq DNase-seq	ChIP-seq ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	low spot score	0.0	1	2	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	unknown	unknown	right atrium auricular region	UBERON:0006631	UBERON:0006631	right atrium auricular region	0.0	0.0	0.0	tissue	tissue	0.0	0.0	ENCFF053VZG, ENCFF079GRE, ENCFF228WQY, ENCFF544GTL, ENCFF549HLL	ENCFF205SMX, ENCFF326GSU, ENCFF466WHK, ENCFF661NBM, ENCFF807MUK	ENCSR278SKG	ENCSR668EVA	2017-10-01	2019-09-11	0.0	H3K27ac-human	released	released	ENCFF939WIN	ENCFF939WIN	ENCFF532LHQ	ENCFF532LHQ	hg19	https://www.encodeproject.org/files/ENCFF939WIN/@@download/ENCFF939WIN.bam	https://www.encodeproject.org/files/ENCFF532LHQ/@@download/ENCFF532LHQ.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	76.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	11224903333	2206388579	1_1	2_1	0.0	0.0	16eff218d034edafef74f69235e03856	a34dff1f69f0bbcbebdf7f84f3d54430	s3://encode-public/2017/09/19/72082771-4f15-44af-8295-60aca9549404/ENCFF939WIN.bam	s3://encode-public/2019/06/12/4eb6fe99-16bc-41c3-b320-0b7c91abfe08/ENCFF532LHQ.bam
DNase-seq DNase-seq	ChIP-seq ChIP-seq	0.0	0.0	experiment not submitted to GEO	0.0	0.0	0.0	low spot score	low read depth, moderate library complexity, mild to moderate bottlenecking	1	1	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	unknown	unknown	stomach	UBERON:0000945	UBERON:0000945	stomach	0.0	0.0	0.0	tissue	tissue	0.0	0.0	ENCFF332OMT, ENCFF479BUR, ENCFF549HLL, ENCFF575AXQ, ENCFF629TYB, ENCFF843RMW, ENCFF949MJX	ENCFF282DOJ, ENCFF807MUK	ENCSR641ZPF	ENCSR582UTE	2017-10-02	2013-07-31	0.0	H3K27ac-human	released	released	ENCFF035CRF	ENCFF035CRF_pooled	ENCFF839HBL	ENCFF839HBL	hg19	https://www.encodeproject.org/files/ENCFF035CRF/@@download/ENCFF035CRF.bam	https://www.encodeproject.org/files/ENCFF839HBL/@@download/ENCFF839HBL.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	50.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	Roadmap	0.0	0.0	0.0	0.0	single-ended	single-ended	9023102766	1608860135	1_1	1_1	0.0	0.0	395cebdd79fe9ba79f22fdda90b36a1f	80653edfa741beede128f7891e8d8ccd	s3://encode-public/2017/09/14/0badd7f2-53b6-412a-93bf-dec8780c2aa6/ENCFF035CRF.bam	s3://encode-public/2017/05/10/e3257a1a-d18f-4a95-8ec9-d5a577887051/ENCFF839HBL.bam
DNase-seq DNase-seq	ChIP-seq ChIP-seq	file validation error	0.0	mismatched file status	0.0	0.0	0.0	low read depth, low spot score	low read depth, moderate library complexity, mild to moderate bottlenecking	2	1	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	unknown	unknown	stomach	UBERON:0000945	UBERON:0000945	stomach	0.0	0.0	0.0	tissue	tissue	0.0	0.0	ENCFF002DUL, ENCFF002DUM, ENCFF002DUN, ENCFF002DUO, ENCFF002DUQ, ENCFF002DUS, ENCFF549HLL	ENCFF282DOJ, ENCFF807MUK	ENCSR095GWE	ENCSR582UTE	2016-09-22	2013-07-31	0.0	H3K27ac-human	released	released	ENCFF982MNF	ENCFF982MNF	ENCFF839HBL	ENCFF839HBL_pooled	hg19	https://www.encodeproject.org/files/ENCFF982MNF/@@download/ENCFF982MNF.bam	https://www.encodeproject.org/files/ENCFF839HBL/@@download/ENCFF839HBL.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	50.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	Roadmap	0.0	0.0	0.0	0.0	single-ended	single-ended	19935074192	1608860135	2_1	1_1	0.0	0.0	47a01dcccd891457c2ed972820880738	80653edfa741beede128f7891e8d8ccd	s3://encode-public/2017/09/10/9b871cc3-981f-420b-b0c0-04a0a18f136a/ENCFF982MNF.bam	s3://encode-public/2017/05/10/e3257a1a-d18f-4a95-8ec9-d5a577887051/ENCFF839HBL.bam
DNase-seq DNase-seq	ChIP-seq ChIP-seq	file validation error	0.0	mismatched file status	0.0	0.0	control insufficient read depth, insufficient read depth	low read depth, low spot score	low read length	1	2	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	unknown	unknown	keratinocyte_female	CL:0000312	CL:0000312	keratinocyte	0.0	0.0	0.0	primary cell	primary cell	0.0	0.0	ENCFF001ECW, ENCFF549HLL	ENCFF000CNL, ENCFF807MUK	ENCSR000EPQ	ENCSR000ALK	2011-05-04	2011-02-10	0.0	H3K27ac-human	released	released	ENCFF283NKN	ENCFF283NKN_pooled	ENCFF582URB	ENCFF582URB	hg19	https://www.encodeproject.org/files/ENCFF283NKN/@@download/ENCFF283NKN.bam	https://www.encodeproject.org/files/ENCFF582URB/@@download/ENCFF582URB.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	2216235406	498330399	1_1	2_1	0.0	0.0	67fe0b1182439bbad0723e87d81c1749	3ffab46a12bc708d6af52d1f23fecf20	s3://encode-public/2017/09/05/56250247-9a68-4f1c-a2a2-1ad23be873e8/ENCFF283NKN.bam	s3://encode-public/2017/04/04/87280359-ca19-4ea0-b6f3-71291d4122e7/ENCFF582URB.bam
DNase-seq DNase-seq	ChIP-seq ChIP-seq	file validation error	0.0	mismatched file status	0.0	0.0	control insufficient read depth, insufficient read depth	low read depth, low spot score	low read length	1	1	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	unknown	unknown	keratinocyte_female	CL:0000312	CL:0000312	keratinocyte	0.0	0.0	0.0	primary cell	primary cell	0.0	0.0	ENCFF001ECW, ENCFF549HLL	ENCFF000CNN, ENCFF807MUK	ENCSR000EPQ	ENCSR000ALK	2011-05-04	2011-02-10	0.0	H3K27ac-human	released	released	ENCFF283NKN	ENCFF283NKN_pooled	ENCFF537VGH	ENCFF537VGH	hg19	https://www.encodeproject.org/files/ENCFF283NKN/@@download/ENCFF283NKN.bam	https://www.encodeproject.org/files/ENCFF537VGH/@@download/ENCFF537VGH.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	2216235406	1285283729	1_1	1_1	0.0	0.0	67fe0b1182439bbad0723e87d81c1749	b49073a5a0868a510fbafe524ae15fff	s3://encode-public/2017/09/05/56250247-9a68-4f1c-a2a2-1ad23be873e8/ENCFF283NKN.bam	s3://encode-public/2017/04/04/d071d65a-0b9a-4247-b3d4-fa3dda8aa42b/ENCFF537VGH.bam
DNase-seq DNase-seq	ChIP-seq ChIP-seq	file validation error	0.0	mismatched file status	0.0	0.0	control insufficient read depth, insufficient read depth	low read depth, low spot score	low read length	2	2	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	unknown	unknown	keratinocyte_female	CL:0000312	CL:0000312	keratinocyte	0.0	0.0	0.0	primary cell	primary cell	0.0	0.0	ENCFF001ECX, ENCFF549HLL	ENCFF000CNL, ENCFF807MUK	ENCSR000EPQ	ENCSR000ALK	2011-05-04	2011-02-10	0.0	H3K27ac-human	released	released	ENCFF612SRN	ENCFF612SRN	ENCFF582URB	ENCFF582URB	hg19	https://www.encodeproject.org/files/ENCFF612SRN/@@download/ENCFF612SRN.bam	https://www.encodeproject.org/files/ENCFF582URB/@@download/ENCFF582URB.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	2367400564	498330399	2_1	2_1	0.0	0.0	4657182b692abc1235f64da362ab7153	3ffab46a12bc708d6af52d1f23fecf20	s3://encode-public/2017/09/05/36876c1b-732e-48e1-a71d-f9341a5e9ee5/ENCFF612SRN.bam	s3://encode-public/2017/04/04/87280359-ca19-4ea0-b6f3-71291d4122e7/ENCFF582URB.bam
DNase-seq DNase-seq	ChIP-seq ChIP-seq	file validation error	0.0	mismatched file status	0.0	0.0	control insufficient read depth, insufficient read depth	low read depth, low spot score	low read length	2	1	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	unknown	unknown	keratinocyte_female	CL:0000312	CL:0000312	keratinocyte	0.0	0.0	0.0	primary cell	primary cell	0.0	0.0	ENCFF001ECX, ENCFF549HLL	ENCFF000CNN, ENCFF807MUK	ENCSR000EPQ	ENCSR000ALK	2011-05-04	2011-02-10	0.0	H3K27ac-human	released	released	ENCFF612SRN	ENCFF612SRN	ENCFF537VGH	ENCFF537VGH	hg19	https://www.encodeproject.org/files/ENCFF612SRN/@@download/ENCFF612SRN.bam	https://www.encodeproject.org/files/ENCFF537VGH/@@download/ENCFF537VGH.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	2367400564	1285283729	2_1	1_1	0.0	0.0	4657182b692abc1235f64da362ab7153	b49073a5a0868a510fbafe524ae15fff	s3://encode-public/2017/09/05/36876c1b-732e-48e1-a71d-f9341a5e9ee5/ENCFF612SRN.bam	s3://encode-public/2017/04/04/d071d65a-0b9a-4247-b3d4-fa3dda8aa42b/ENCFF537VGH.bam
