numerical_id	unique_id	treatment_id	File accession_Accessibility	File format	File type	File format type_Accessibility	Output type	File assembly	Experiment accession_Accessibility	Assay_Accessibility	Biosample term id_Accessibility	Biosample term name	Biosample type_Accessibility	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates_Accessibility	Biosample genetic modifications zygosity_Accessibility	Experiment target_Accessibility	Library made from_Accessibility	Library depleted in_Accessibility	Library extraction method_Accessibility	Library lysis method_Accessibility	Library crosslinking method_Accessibility	Library strand specific_Accessibility	Experiment date released_Accessibility	Project_Accessibility	RBNS protein concentration_Accessibility	Library fragmentation method_Accessibility	Library size range_Accessibility	Biological replicate(s)_Accessibility	Technical replicate(s)_Accessibility	Read length_Accessibility	Mapped read length_Accessibility	Run type_Accessibility	Paired end_Accessibility	Paired with_Accessibility	Index of_Accessibility	Derived from_Accessibility	Size_Accessibility	Lab	md5sum_Accessibility	dbxrefs_Accessibility	File download URL_Accessibility	Genome annotation	Platform_Accessibility	Controlled by_Accessibility	File Status_Accessibility	s3_uri_Accessibility	Audit WARNING_Accessibility	Audit NOT_COMPLIANT_Accessibility	Audit ERROR_Accessibility	Biosample summary_Accessibility	Biosample stage	Biosample age_Accessibility	File accession_H3K27ac	File format type_H3K27ac	Experiment accession_H3K27ac	Assay_H3K27ac	Biosample term id_H3K27ac	Biosample type_H3K27ac	Biosample genetic modifications site coordinates_H3K27ac	Biosample genetic modifications zygosity_H3K27ac	Experiment target_H3K27ac	Library made from_H3K27ac	Library depleted in_H3K27ac	Library extraction method_H3K27ac	Library lysis method_H3K27ac	Library crosslinking method_H3K27ac	Library strand specific_H3K27ac	Experiment date released_H3K27ac	Project_H3K27ac	RBNS protein concentration_H3K27ac	Library fragmentation method_H3K27ac	Library size range_H3K27ac	Biological replicate(s)_H3K27ac	Technical replicate(s)_H3K27ac	Read length_H3K27ac	Mapped read length_H3K27ac	Run type_H3K27ac	Paired end_H3K27ac	Paired with_H3K27ac	Index of_H3K27ac	Derived from_H3K27ac	Size_H3K27ac	md5sum_H3K27ac	dbxrefs_H3K27ac	File download URL_H3K27ac	Platform_H3K27ac	Controlled by_H3K27ac	File Status_H3K27ac	s3_uri_H3K27ac	Audit WARNING_H3K27ac	Audit NOT_COMPLIANT_H3K27ac	Audit ERROR_H3K27ac	Biosample summary_H3K27ac	Biosample age_H3K27ac	File accession_H3K27ac bam	File accession_Accessibility bam
ID_0	endodermal_cell_5_days_1_1_endodermal_cell_originated_from_HUES64_0.0_1_2	0.0_0.0_0.0	ENCFF106NQV	bam	bam	0.0	unfiltered alignments	hg19	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2017-12-13	ENCODE	0.0	0.0	0.0	1	1_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF549HLL/, /files/ENCFF282WAV/, /files/ENCFF602VMH/, /files/ENCFF099UXO/, /files/ENCFF667SWK/	9456933337	ENCODE Processing Pipeline	8fc26a88f7cbc224f3aaf0d2de667d01	0.0	https://www.encodeproject.org/files/ENCFF106NQV/@@download/ENCFF106NQV.bam	0.0	0.0	0.0	released	s3://encode-public/2017/12/05/0a9e4dc8-eae6-4822-8b9a-ef5624ab08cc/ENCFF106NQV.bam	0.0	0.0	0.0	endodermal_cell	embryonic	5 days	ENCFF861XCF	0.0	ENCSR200ETW	Histone ChIP-seq	CL:0000223	in vitro differentiated cells	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2013-07-31	Roadmap	0.0	0.0	0.0	1	1_2	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF807MUK/, /files/ENCFF622OAL/, /files/ENCFF878IZP/	1490147881	5dec745d9f93d2dc0afdb94229282e4c	0.0	https://www.encodeproject.org/files/ENCFF861XCF/@@download/ENCFF861XCF.bam	0.0	0.0	released	s3://encode-public/2016/12/19/0f70e3f6-0416-4753-bbad-a6e779c74ce9/ENCFF861XCF.bam	low read depth, low read length, moderate library complexity, mild to moderate bottlenecking	0.0	0.0	endodermal_cell_originated_from_HUES64	0.0	ENCFF861XCF	ENCFF106NQV
ID_1	endodermal_cell_5_days_1_1_endodermal_cell_originated_from_HUES64_0.0_2_2	0.0_0.0_0.0	ENCFF106NQV	bam	bam	0.0	unfiltered alignments	hg19	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2017-12-13	ENCODE	0.0	0.0	0.0	1	1_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF549HLL/, /files/ENCFF282WAV/, /files/ENCFF602VMH/, /files/ENCFF099UXO/, /files/ENCFF667SWK/	9456933337	ENCODE Processing Pipeline	8fc26a88f7cbc224f3aaf0d2de667d01	0.0	https://www.encodeproject.org/files/ENCFF106NQV/@@download/ENCFF106NQV.bam	0.0	0.0	0.0	released	s3://encode-public/2017/12/05/0a9e4dc8-eae6-4822-8b9a-ef5624ab08cc/ENCFF106NQV.bam	0.0	0.0	0.0	endodermal_cell	embryonic	5 days	ENCFF324EOW	0.0	ENCSR200ETW	Histone ChIP-seq	CL:0000223	in vitro differentiated cells	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2013-07-31	Roadmap	0.0	0.0	0.0	2	2_2	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF441DST/, /files/ENCFF807MUK/, /files/ENCFF199QKQ/	1776499589	2feeb4f272460cd621c28f06e3bfb3dc	0.0	https://www.encodeproject.org/files/ENCFF324EOW/@@download/ENCFF324EOW.bam	0.0	0.0	released	s3://encode-public/2016/12/19/8b69b944-7c1d-4b88-ade5-461535f3734e/ENCFF324EOW.bam	low read depth, low read length, moderate library complexity, mild to moderate bottlenecking	0.0	0.0	endodermal_cell_originated_from_HUES64	0.0	ENCFF324EOW	ENCFF106NQV
ID_2	endodermal_cell_5_days_2_1_endodermal_cell_originated_from_HUES64_0.0_1_2	0.0_0.0_0.0	ENCFF066OAF	bam	bam	0.0	unfiltered alignments	hg19	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2017-12-13	ENCODE	0.0	0.0	0.0	2	2_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF549HLL/, /files/ENCFF296YPN/, /files/ENCFF545TKW/, /files/ENCFF754PQR/, /files/ENCFF097SKE/	16730952638	ENCODE Processing Pipeline	c28e022e5dcf98cf4e756a9eedf174cd	0.0	https://www.encodeproject.org/files/ENCFF066OAF/@@download/ENCFF066OAF.bam	0.0	0.0	0.0	released	s3://encode-public/2017/12/05/64997bd8-1af3-4743-8ddf-bb4c9ad57960/ENCFF066OAF.bam	0.0	0.0	0.0	endodermal_cell	embryonic	5 days	ENCFF861XCF	0.0	ENCSR200ETW	Histone ChIP-seq	CL:0000223	in vitro differentiated cells	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2013-07-31	Roadmap	0.0	0.0	0.0	1	1_2	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF807MUK/, /files/ENCFF622OAL/, /files/ENCFF878IZP/	1490147881	5dec745d9f93d2dc0afdb94229282e4c	0.0	https://www.encodeproject.org/files/ENCFF861XCF/@@download/ENCFF861XCF.bam	0.0	0.0	released	s3://encode-public/2016/12/19/0f70e3f6-0416-4753-bbad-a6e779c74ce9/ENCFF861XCF.bam	low read depth, low read length, moderate library complexity, mild to moderate bottlenecking	0.0	0.0	endodermal_cell_originated_from_HUES64	0.0	ENCFF861XCF	ENCFF066OAF
ID_3	endodermal_cell_5_days_2_1_endodermal_cell_originated_from_HUES64_0.0_2_2	0.0_0.0_0.0	ENCFF066OAF	bam	bam	0.0	unfiltered alignments	hg19	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2017-12-13	ENCODE	0.0	0.0	0.0	2	2_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF549HLL/, /files/ENCFF296YPN/, /files/ENCFF545TKW/, /files/ENCFF754PQR/, /files/ENCFF097SKE/	16730952638	ENCODE Processing Pipeline	c28e022e5dcf98cf4e756a9eedf174cd	0.0	https://www.encodeproject.org/files/ENCFF066OAF/@@download/ENCFF066OAF.bam	0.0	0.0	0.0	released	s3://encode-public/2017/12/05/64997bd8-1af3-4743-8ddf-bb4c9ad57960/ENCFF066OAF.bam	0.0	0.0	0.0	endodermal_cell	embryonic	5 days	ENCFF324EOW	0.0	ENCSR200ETW	Histone ChIP-seq	CL:0000223	in vitro differentiated cells	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2013-07-31	Roadmap	0.0	0.0	0.0	2	2_2	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF441DST/, /files/ENCFF807MUK/, /files/ENCFF199QKQ/	1776499589	2feeb4f272460cd621c28f06e3bfb3dc	0.0	https://www.encodeproject.org/files/ENCFF324EOW/@@download/ENCFF324EOW.bam	0.0	0.0	released	s3://encode-public/2016/12/19/8b69b944-7c1d-4b88-ade5-461535f3734e/ENCFF324EOW.bam	low read depth, low read length, moderate library complexity, mild to moderate bottlenecking	0.0	0.0	endodermal_cell_originated_from_HUES64	0.0	ENCFF324EOW	ENCFF066OAF
ID_4	H1_0.0_1_1_H1_0.0_2_2	0.0_0.0_0.0	ENCFF450BWK	bam	bam	0.0	unfiltered alignments	hg19	ENCSR000EMU	DNase-seq	EFO:0003042	H1	cell line	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2010-12-16	ENCODE	0.0	see document	0.0	1	1_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF001CVK/, /files/ENCFF549HLL/	1500278557	ENCODE Processing Pipeline	b083ea299d503f1f39a1804bf8114765	0.0	https://www.encodeproject.org/files/ENCFF450BWK/@@download/ENCFF450BWK.bam	0.0	0.0	0.0	released	s3://encode-public/2017/09/05/66c96704-f98d-42df-9f22-9ed17a3eac80/ENCFF450BWK.bam	low read depth, low spot score	0.0	0.0	H1	embryonic	0.0	ENCFF250OOT	0.0	ENCSR000ANP	Histone ChIP-seq	EFO:0003042	cell line	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2011-02-10	ENCODE	0.0	see document	0.0	2	2_2	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF807MUK/, /files/ENCFF000AWV/	910891312	112484dd26f0c82609de6bf791f9752d	0.0	https://www.encodeproject.org/files/ENCFF250OOT/@@download/ENCFF250OOT.bam	0.0	0.0	released	s3://encode-public/2016/11/13/788c72b2-c6c2-4778-80cc-4bbf36e601d5/ENCFF250OOT.bam	low read depth, inconsistent platforms, low read length	0.0	0.0	H1	0.0	ENCFF250OOT	ENCFF450BWK_pooled
ID_5	H1_0.0_1_1_H1_0.0_1_1	0.0_0.0_0.0	ENCFF450BWK	bam	bam	0.0	unfiltered alignments	hg19	ENCSR000EMU	DNase-seq	EFO:0003042	H1	cell line	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2010-12-16	ENCODE	0.0	see document	0.0	1	1_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF001CVK/, /files/ENCFF549HLL/	1500278557	ENCODE Processing Pipeline	b083ea299d503f1f39a1804bf8114765	0.0	https://www.encodeproject.org/files/ENCFF450BWK/@@download/ENCFF450BWK.bam	0.0	0.0	0.0	released	s3://encode-public/2017/09/05/66c96704-f98d-42df-9f22-9ed17a3eac80/ENCFF450BWK.bam	low read depth, low spot score	0.0	0.0	H1	embryonic	0.0	ENCFF782JPR	0.0	ENCSR000ANP	Histone ChIP-seq	EFO:0003042	cell line	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2011-02-10	ENCODE	0.0	see document	0.0	1	1_1	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF000AWR/, /files/ENCFF807MUK/	1095583219	1d0f394727ca22a63e1e66c19b124307	0.0	https://www.encodeproject.org/files/ENCFF782JPR/@@download/ENCFF782JPR.bam	0.0	0.0	released	s3://encode-public/2016/11/13/0984e7e8-218d-465b-b7b1-454a3784104b/ENCFF782JPR.bam	low read depth, inconsistent platforms, low read length	0.0	0.0	H1	0.0	ENCFF782JPR	ENCFF450BWK_pooled
ID_6	osteoblast_0.0_1_1_osteoblast_0.0_1_1	0.0_0.0_0.0	ENCFF525DSP	bam	bam	0.0	unfiltered alignments	hg19	ENCSR000ELJ	DNase-seq	CL:0000062	osteoblast	primary cell	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2011-04-19	ENCODE	0.0	see document	0.0	1	1_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF000TCL/, /files/ENCFF549HLL/	1699193620	ENCODE Processing Pipeline	81cbc13167bcd145b1652d970c663985	0.0	https://www.encodeproject.org/files/ENCFF525DSP/@@download/ENCFF525DSP.bam	0.0	0.0	0.0	released	s3://encode-public/2017/10/06/c1c01f94-6140-4c32-ab8f-222487a62979/ENCFF525DSP.bam	mixed read lengths	insufficient read length	0.0	osteoblast	unknown	0.0	ENCFF449YBK	0.0	ENCSR000APH	Histone ChIP-seq	CL:0000062	primary cell	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2011-02-10	ENCODE	0.0	see document	0.0	1	1_1	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF000CVS/, /files/ENCFF807MUK/	1139088129	70eb8f0378dd9567280e8042ae06a16e	0.0	https://www.encodeproject.org/files/ENCFF449YBK/@@download/ENCFF449YBK.bam	0.0	0.0	released	s3://encode-public/2017/04/04/c61068cd-ec55-4bca-a6b8-234de15e6857/ENCFF449YBK.bam	low read depth, low read length, moderate library complexity, mild to moderate bottlenecking	0.0	0.0	osteoblast	0.0	ENCFF449YBK	ENCFF525DSP_pooled
ID_7	osteoblast_0.0_1_1_osteoblast_0.0_2_1	0.0_0.0_0.0	ENCFF525DSP	bam	bam	0.0	unfiltered alignments	hg19	ENCSR000ELJ	DNase-seq	CL:0000062	osteoblast	primary cell	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2011-04-19	ENCODE	0.0	see document	0.0	1	1_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF000TCL/, /files/ENCFF549HLL/	1699193620	ENCODE Processing Pipeline	81cbc13167bcd145b1652d970c663985	0.0	https://www.encodeproject.org/files/ENCFF525DSP/@@download/ENCFF525DSP.bam	0.0	0.0	0.0	released	s3://encode-public/2017/10/06/c1c01f94-6140-4c32-ab8f-222487a62979/ENCFF525DSP.bam	mixed read lengths	insufficient read length	0.0	osteoblast	unknown	0.0	ENCFF817FSB	0.0	ENCSR000APH	Histone ChIP-seq	CL:0000062	primary cell	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2011-02-10	ENCODE	0.0	see document	0.0	2	2_1	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF807MUK/, /files/ENCFF000CVU/	2074970129	cc141439830c3127051949f83f2acfc3	0.0	https://www.encodeproject.org/files/ENCFF817FSB/@@download/ENCFF817FSB.bam	0.0	0.0	released	s3://encode-public/2017/04/04/bfbb36aa-ec04-449f-96e0-f2a17c0b5528/ENCFF817FSB.bam	low read depth, low read length, moderate library complexity, mild to moderate bottlenecking	0.0	0.0	osteoblast	0.0	ENCFF817FSB	ENCFF525DSP_pooled
ID_8	SK-N-MC_14_years_1_1_SK-N-MC_14_years_1_1	0.0_0.0_0.0	ENCFF808UBJ	bam	bam	0.0	unfiltered alignments	hg19	ENCSR000EPY	DNase-seq	EFO:0002860	SK-N-MC	cell line	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2011-05-04	ENCODE	0.0	see document	0.0	1	1_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF001EGT/, /files/ENCFF549HLL/	1663201137	ENCODE Processing Pipeline	ad4baaca5c9c58cb193db573b2990ff0	0.0	https://www.encodeproject.org/files/ENCFF808UBJ/@@download/ENCFF808UBJ.bam	0.0	0.0	0.0	released	s3://encode-public/2017/09/05/6c459e1c-6dbb-43c2-9aa7-e32a16a6a1e2/ENCFF808UBJ.bam	low read depth, low spot score	0.0	0.0	SK-N-MC	child	14 years	ENCFF685RRO	0.0	ENCSR835MMN	Histone ChIP-seq	EFO:0002860	cell line	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2016-11-18	ENCODE	0.0	sonication (generic)	200-600	1	1_1	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF807MUK/, /files/ENCFF066HPX/	2056787131	c0e2f0d8dbe2e2b452dda2c9c3249913	0.0	https://www.encodeproject.org/files/ENCFF685RRO/@@download/ENCFF685RRO.bam	0.0	0.0	released	s3://encode-public/2016/11/09/34181e46-ca23-4750-91e2-b057560ffd0e/ENCFF685RRO.bam	mixed run types	0.0	0.0	SK-N-MC	14 years	ENCFF685RRO	ENCFF808UBJ
ID_9	SK-N-MC_14_years_1_1_SK-N-MC_14_years_2_1	0.0_0.0_0.0	ENCFF808UBJ	bam	bam	0.0	unfiltered alignments	hg19	ENCSR000EPY	DNase-seq	EFO:0002860	SK-N-MC	cell line	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2011-05-04	ENCODE	0.0	see document	0.0	1	1_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF001EGT/, /files/ENCFF549HLL/	1663201137	ENCODE Processing Pipeline	ad4baaca5c9c58cb193db573b2990ff0	0.0	https://www.encodeproject.org/files/ENCFF808UBJ/@@download/ENCFF808UBJ.bam	0.0	0.0	0.0	released	s3://encode-public/2017/09/05/6c459e1c-6dbb-43c2-9aa7-e32a16a6a1e2/ENCFF808UBJ.bam	low read depth, low spot score	0.0	0.0	SK-N-MC	child	14 years	ENCFF064VTG	0.0	ENCSR835MMN	Histone ChIP-seq	EFO:0002860	cell line	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2016-11-18	ENCODE	0.0	sonication (generic)	200-600	2	2_1	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF807MUK/, /files/ENCFF936KFD/	1380382234	a765e70191c16f96c6800950a3040d85	0.0	https://www.encodeproject.org/files/ENCFF064VTG/@@download/ENCFF064VTG.bam	0.0	0.0	released	s3://encode-public/2016/11/14/916a7d4b-e0d3-4791-9ee0-a0be4605e393/ENCFF064VTG.bam	mixed run types	0.0	0.0	SK-N-MC	14 years	ENCFF064VTG	ENCFF808UBJ
