File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR	Biosample stage
ENCFF607OPZ	bam	bam		unfiltered alignments	hg19	ENCSR000EOB	DNase-seq	CL:2000041	dermis microvascular lymphatic vessel endothelial cell	primary cell	Homo sapiens											DNA						2010-12-16	ENCODE		see document		1	1_1							/files/ENCFF478SZG/, /files/ENCFF928GXY/, /files/ENCFF001BJM/, /files/ENCFF001BJL/, /files/ENCFF001DHY/, /files/ENCFF001BJK/, /files/ENCFF001BJJ/, /files/ENCFF549HLL/	13365380789	ENCODE Processing Pipeline	71395ae0b04273a7c2bacd429f6c1628		https://www.encodeproject.org/files/ENCFF607OPZ/@@download/ENCFF607OPZ.bam				released	s3://encode-public/2018/05/07/fc1338ce-2ef6-4dfd-bd6e-f8d5633b2b50/ENCFF607OPZ.bam	low read depth			
ENCFF472JAN	bam	bam		unfiltered alignments	hg19	ENCSR000EOB	DNase-seq	CL:2000041	dermis microvascular lymphatic vessel endothelial cell	primary cell	Homo sapiens											DNA						2010-12-16	ENCODE		see document		2	2_1							/files/ENCFF001DID/, /files/ENCFF549HLL/	2479043955	ENCODE Processing Pipeline	b6599b128b2ca2950bf6b2d1e5128019		https://www.encodeproject.org/files/ENCFF472JAN/@@download/ENCFF472JAN.bam				released	s3://encode-public/2018/05/07/4d780b9e-8655-41d6-851f-ce24d1396f55/ENCFF472JAN.bam	low read depth			
ENCFF400WHB	bam	bam		alignments	hg19	ENCSR000EOB	DNase-seq	CL:2000041	dermis microvascular lymphatic vessel endothelial cell	primary cell	Homo sapiens											DNA						2010-12-16	ENCODE		see document		1	1_1							/files/ENCFF607OPZ/	10575456777	ENCODE Processing Pipeline	d211a51e25e37a1fd7f85ad821fc34c3		https://www.encodeproject.org/files/ENCFF400WHB/@@download/ENCFF400WHB.bam				released	s3://encode-public/2018/05/07/bc51efc1-fca4-4073-82a0-681b550b811a/ENCFF400WHB.bam	low read depth			
ENCFF804SLA	bam	bam		alignments	hg19	ENCSR000EOB	DNase-seq	CL:2000041	dermis microvascular lymphatic vessel endothelial cell	primary cell	Homo sapiens											DNA						2010-12-16	ENCODE		see document		2	2_1							/files/ENCFF472JAN/	1933045394	ENCODE Processing Pipeline	2c17556e5d3069160077259b0e5c0e62		https://www.encodeproject.org/files/ENCFF804SLA/@@download/ENCFF804SLA.bam				released	s3://encode-public/2018/05/07/2361e0ea-5a5d-441c-8ff7-07e3474f1de4/ENCFF804SLA.bam	low read depth			
ENCFF933HQK	bam	bam		unfiltered alignments	hg19	ENCSR000EOE	DNase-seq	CL:2000016	lung microvascular endothelial cell	primary cell	Homo sapiens											DNA						2010-12-16	ENCODE		see document		1	1_1							/files/ENCFF143ZAN/, /files/ENCFF273KCN/, /files/ENCFF001BGV/, /files/ENCFF001DJL/, /files/ENCFF001BGU/, /files/ENCFF001BGT/, /files/ENCFF549HLL/	16346614720	ENCODE Processing Pipeline	673b968c8d0e60c12499be58301b9e47		https://www.encodeproject.org/files/ENCFF933HQK/@@download/ENCFF933HQK.bam				released	s3://encode-public/2018/05/07/466bdae7-7f33-4308-aa73-d46b725ef868/ENCFF933HQK.bam	low read depth			
ENCFF664YDQ	bam	bam		unfiltered alignments	hg19	ENCSR000EOE	DNase-seq	CL:2000016	lung microvascular endothelial cell	primary cell	Homo sapiens											DNA						2010-12-16	ENCODE		see document		2	2_1							/files/ENCFF001DJK/, /files/ENCFF549HLL/	2121065784	ENCODE Processing Pipeline	646e391bf0a74238b92e1a66d01f3961		https://www.encodeproject.org/files/ENCFF664YDQ/@@download/ENCFF664YDQ.bam				released	s3://encode-public/2018/05/07/987079b8-c03f-4ad9-bd6b-1040a75c152f/ENCFF664YDQ.bam	low read depth			
ENCFF858RRY	bam	bam		alignments	hg19	ENCSR000EOE	DNase-seq	CL:2000016	lung microvascular endothelial cell	primary cell	Homo sapiens											DNA						2010-12-16	ENCODE		see document		1	1_1							/files/ENCFF933HQK/	12208440279	ENCODE Processing Pipeline	a4ebe503f45bf6a352a653aaef7d3c47		https://www.encodeproject.org/files/ENCFF858RRY/@@download/ENCFF858RRY.bam				released	s3://encode-public/2018/05/07/8a1f5588-1f8a-434e-ad7e-7a9bdcd7e579/ENCFF858RRY.bam	low read depth			
ENCFF806ZWR	bam	bam		alignments	hg19	ENCSR000EOE	DNase-seq	CL:2000016	lung microvascular endothelial cell	primary cell	Homo sapiens											DNA						2010-12-16	ENCODE		see document		2	2_1							/files/ENCFF664YDQ/	1596844890	ENCODE Processing Pipeline	ec7b8e879a41cf698fe0d2a84ae1fef8		https://www.encodeproject.org/files/ENCFF806ZWR/@@download/ENCFF806ZWR.bam				released	s3://encode-public/2018/05/07/b80e2c87-96c3-4555-8892-594bf7d5950e/ENCFF806ZWR.bam	low read depth			
ENCFF782CVK	bam	bam		unfiltered alignments	hg19	ENCSR502NDK	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_3							/files/ENCFF698BGB/, /files/ENCFF463POG/, /files/ENCFF098RZZ/, /files/ENCFF549HLL/	2519838384	ENCODE Processing Pipeline	91c70d86aed24ca79cf668abcac6d215		https://www.encodeproject.org/files/ENCFF782CVK/@@download/ENCFF782CVK.bam				released	s3://encode-public/2017/09/19/5082c425-2d78-4dbf-bdb9-8671ee304723/ENCFF782CVK.bam	low read depth, low spot score			embryonic_108_days
ENCFF306HCU	bam	bam		alignments	hg19	ENCSR502NDK	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_3							/files/ENCFF782CVK/	2051343930	ENCODE Processing Pipeline	53b2de8117207fa7c80fb4f5e3326590		https://www.encodeproject.org/files/ENCFF306HCU/@@download/ENCFF306HCU.bam				released	s3://encode-public/2017/09/19/dd7a8f91-a244-4930-a9a9-370e6e1897d7/ENCFF306HCU.bam	low read depth, low spot score			embryonic_108_days
