File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF114QOS	bam	bam		unfiltered alignments	hg19	ENCSR891BTJ	Histone ChIP-seq	UBERON:0007610	tibial artery	tissue	Homo sapiens										H3K27ac-human	DNA						2019-09-11	ENCODE		none	200-600	1	1_1, 1_2		76					/files/ENCFF420HES/, /files/ENCFF437TKR/, /files/ENCFF807MUK/, /files/ENCFF519ETK/, /files/ENCFF092JSR/	1925445298	ENCODE Processing Pipeline	a2a05a7f924fc227e7a84aabb67e84e1		https://www.encodeproject.org/files/ENCFF114QOS/@@download/ENCFF114QOS.bam				released	s3://encode-public/2019/08/11/e5fd0753-e914-4cdb-a88f-44a92766b963/ENCFF114QOS.bam			
ENCFF647QMO	bam	bam		alignments	hg19	ENCSR891BTJ	Histone ChIP-seq	UBERON:0007610	tibial artery	tissue	Homo sapiens										H3K27ac-human	DNA						2019-09-11	ENCODE		none	200-600	1	1_1, 1_2		76					/files/ENCFF420HES/, /files/ENCFF437TKR/, /files/ENCFF807MUK/, /files/ENCFF519ETK/, /files/ENCFF092JSR/	1654594457	ENCODE Processing Pipeline	1bbcf556ee15d1fa3b5786ae1d6bdceb		https://www.encodeproject.org/files/ENCFF647QMO/@@download/ENCFF647QMO.bam				released	s3://encode-public/2019/08/11/4d156a8f-e236-4c63-8078-b53ea4eba747/ENCFF647QMO.bam			
ENCFF335XNL	bam	bam		unfiltered alignments	hg19	ENCSR195JWZ	Histone ChIP-seq	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens										H3K27ac-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_1, 1_2		76					/files/ENCFF011ZFX/, /files/ENCFF807MUK/, /files/ENCFF797TMM/, /files/ENCFF076MFG/, /files/ENCFF002OYV/	3638546475	ENCODE Processing Pipeline	671108ea77c4b594502afbafe27485dd		https://www.encodeproject.org/files/ENCFF335XNL/@@download/ENCFF335XNL.bam				released	s3://encode-public/2019/02/09/69d749c9-4976-4438-a547-138e948cf064/ENCFF335XNL.bam			
ENCFF132IHA	bam	bam		alignments	hg19	ENCSR195JWZ	Histone ChIP-seq	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens										H3K27ac-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_1, 1_2		76					/files/ENCFF011ZFX/, /files/ENCFF807MUK/, /files/ENCFF797TMM/, /files/ENCFF076MFG/, /files/ENCFF002OYV/	3092532505	ENCODE Processing Pipeline	1678c73e8aaa34c43dd43ba07eb3a2c8		https://www.encodeproject.org/files/ENCFF132IHA/@@download/ENCFF132IHA.bam				released	s3://encode-public/2019/02/09/4516031a-a1cb-4de7-bba5-83cd0a75cf84/ENCFF132IHA.bam			
ENCFF352HEC	bam	bam		alignments	hg19	ENCSR000AVF	Histone ChIP-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	1 hour							H3K27ac-human	DNA						2012-08-06	ENCODE		see document		1	1_1		36					/files/ENCFF807MUK/, /files/ENCFF000AKL/	1045002018	ENCODE Processing Pipeline	71b8317d5fc6b290cacc4a7beccf6e62		https://www.encodeproject.org/files/ENCFF352HEC/@@download/ENCFF352HEC.bam				released	s3://encode-public/2017/04/12/f8ac3253-87c6-4d45-aff8-0f019c2372a4/ENCFF352HEC.bam	low read depth, low read length, mild to moderate bottlenecking, moderate library complexity		
ENCFF957HDK	bam	bam		unfiltered alignments	hg19	ENCSR000AVF	Histone ChIP-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	1 hour							H3K27ac-human	DNA						2012-08-06	ENCODE		see document		2	2_1		36					/files/ENCFF807MUK/, /files/ENCFF000AKJ/	1231190146	ENCODE Processing Pipeline	a4331573bdc222e63f8c78d1599e11d2		https://www.encodeproject.org/files/ENCFF957HDK/@@download/ENCFF957HDK.bam				released	s3://encode-public/2017/04/12/4efb2103-6b68-40ff-81da-0f43f754aeef/ENCFF957HDK.bam	low read depth, low read length, mild to moderate bottlenecking, moderate library complexity		
ENCFF529MDW	bam	bam		alignments	hg19	ENCSR000AVF	Histone ChIP-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	1 hour							H3K27ac-human	DNA						2012-08-06	ENCODE		see document		2	2_1		36					/files/ENCFF807MUK/, /files/ENCFF000AKJ/	780480188	ENCODE Processing Pipeline	e44dbeea2f19958540da0d46be4e0679		https://www.encodeproject.org/files/ENCFF529MDW/@@download/ENCFF529MDW.bam				released	s3://encode-public/2017/04/12/27e6e920-0369-436f-97f4-c6c57142d29b/ENCFF529MDW.bam	low read depth, low read length, mild to moderate bottlenecking, moderate library complexity		
ENCFF962SJY	bam	bam		unfiltered alignments	hg19	ENCSR000AVF	Histone ChIP-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	1 hour							H3K27ac-human	DNA						2012-08-06	ENCODE		see document		1	1_1		36					/files/ENCFF807MUK/, /files/ENCFF000AKL/	1895081081	ENCODE Processing Pipeline	f9b037e6a9dd1aebc611536e25fbbc93		https://www.encodeproject.org/files/ENCFF962SJY/@@download/ENCFF962SJY.bam				released	s3://encode-public/2017/04/12/1aa70750-ca9d-41ea-80a4-b774e88f9027/ENCFF962SJY.bam	low read depth, low read length, mild to moderate bottlenecking, moderate library complexity		
ENCFF103XAE	bam	bam		redacted unfiltered alignments	hg19	ENCSR034RQV	Histone ChIP-seq	NTR:0001226	parathyroid adenoma	tissue	Homo sapiens										H3K27ac-human	DNA						2017-12-05	ENCODE		sonication (generic)	300-600	1	1_1		76					/files/ENCFF356OSU/, /files/ENCFF807MUK/, /files/ENCFF033QTH/	936433464	ENCODE Processing Pipeline	96a5150b1044979794d098d252b7bee8		https://www.encodeproject.org/files/ENCFF103XAE/@@download/ENCFF103XAE.bam				released	s3://encode-public/2017/11/19/9b8f7257-f95a-4da0-b8b2-5b8834492bb9/ENCFF103XAE.bam			
ENCFF538FMP	bam	bam		redacted alignments	hg19	ENCSR034RQV	Histone ChIP-seq	NTR:0001226	parathyroid adenoma	tissue	Homo sapiens										H3K27ac-human	DNA						2017-12-05	ENCODE		sonication (generic)	300-600	1	1_1		76					/files/ENCFF356OSU/, /files/ENCFF807MUK/, /files/ENCFF033QTH/	772596215	ENCODE Processing Pipeline	6010573b2691568389e119cd786f329f		https://www.encodeproject.org/files/ENCFF538FMP/@@download/ENCFF538FMP.bam				released	s3://encode-public/2017/11/19/d557efd0-c73a-44db-a6a6-5e81e90ebba0/ENCFF538FMP.bam			
ENCFF790MCM	bam	bam		alignments	hg19	ENCSR000AUP	Histone ChIP-seq	CL:0000236	B cell	primary cell	Homo sapiens										H3K27ac-human	DNA						2012-08-06	ENCODE		see document		2	2_1		36					/files/ENCFF807MUK/, /files/ENCFF000ANV/	1785011969	ENCODE Processing Pipeline	f5c2e2347bb8a8ed545b02881fedc3f6		https://www.encodeproject.org/files/ENCFF790MCM/@@download/ENCFF790MCM.bam				released	s3://encode-public/2017/04/12/a86c83ba-2102-4d3e-9e8d-0206ff660763/ENCFF790MCM.bam	low read length, moderate library complexity, mild to moderate bottlenecking		
ENCFF224TUK	bam	bam		unfiltered alignments	hg19	ENCSR000AUP	Histone ChIP-seq	CL:0000236	B cell	primary cell	Homo sapiens										H3K27ac-human	DNA						2012-08-06	ENCODE		see document		1	1_1		36					/files/ENCFF807MUK/, /files/ENCFF000ANT/	1744914440	ENCODE Processing Pipeline	7c9c989dab732205de6a73f862b5750c		https://www.encodeproject.org/files/ENCFF224TUK/@@download/ENCFF224TUK.bam				released	s3://encode-public/2017/04/12/da6bd20d-7ea8-445d-96c5-260e4b9b7ee8/ENCFF224TUK.bam	low read length, moderate library complexity, mild to moderate bottlenecking		
ENCFF265ODN	bam	bam		alignments	hg19	ENCSR000AUP	Histone ChIP-seq	CL:0000236	B cell	primary cell	Homo sapiens										H3K27ac-human	DNA						2012-08-06	ENCODE		see document		1	1_1		36					/files/ENCFF807MUK/, /files/ENCFF000ANT/	1071913476	ENCODE Processing Pipeline	40a6a16343fc81e6e900af7b1da791de		https://www.encodeproject.org/files/ENCFF265ODN/@@download/ENCFF265ODN.bam				released	s3://encode-public/2017/04/12/58f747b6-58c1-4156-8e6e-16150a0cbd32/ENCFF265ODN.bam	low read length, moderate library complexity, mild to moderate bottlenecking		
