numerical_id	unique_id	treatment_id	Assay_Accessibility	Assay_H3K27ac	Audit ERROR_Accessibility	Audit ERROR_H3K27ac	Audit NOT_COMPLIANT_Accessibility	Audit NOT_COMPLIANT_H3K27ac	Audit WARNING_Accessibility	Audit WARNING_H3K27ac	Biological replicate(s)_Accessibility	Biological replicate(s)_H3K27ac	Biosample age_Accessibility	Biosample age_H3K27ac	Biosample genetic modifications categories	Biosample genetic modifications gene targets	Biosample genetic modifications methods	Biosample genetic modifications site coordinates_Accessibility	Biosample genetic modifications site coordinates_H3K27ac	Biosample genetic modifications targets	Biosample genetic modifications zygosity_Accessibility	Biosample genetic modifications zygosity_H3K27ac	Biosample organism	Biosample stage	Biosample summary_Accessibility	Biosample summary_H3K27ac	Biosample term id_Accessibility	Biosample term id_H3K27ac	Biosample term name	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample type_Accessibility	Biosample type_H3K27ac	Controlled by_Accessibility	Controlled by_H3K27ac	Derived from_Accessibility	Derived from_H3K27ac	Experiment accession_Accessibility	Experiment accession_H3K27ac	Experiment date released_Accessibility	Experiment date released_H3K27ac	Experiment target_Accessibility	Experiment target_H3K27ac	File Status_Accessibility	File Status_H3K27ac	File accession_Accessibility	File accession_Accessibility bam	File accession_H3K27ac	File accession_H3K27ac bam	File assembly	File download URL_Accessibility	File download URL_H3K27ac	File format	File format type_Accessibility	File format type_H3K27ac	File type	Genome annotation	Index of_Accessibility	Index of_H3K27ac	Lab	Library crosslinking method_Accessibility	Library crosslinking method_H3K27ac	Library depleted in_Accessibility	Library depleted in_H3K27ac	Library extraction method_Accessibility	Library extraction method_H3K27ac	Library fragmentation method_Accessibility	Library fragmentation method_H3K27ac	Library lysis method_Accessibility	Library lysis method_H3K27ac	Library made from_Accessibility	Library made from_H3K27ac	Library size range_Accessibility	Library size range_H3K27ac	Library strand specific_Accessibility	Library strand specific_H3K27ac	Mapped read length_Accessibility	Mapped read length_H3K27ac	Output type	Paired end_Accessibility	Paired end_H3K27ac	Paired with_Accessibility	Paired with_H3K27ac	Platform_Accessibility	Platform_H3K27ac	Project_Accessibility	Project_H3K27ac	RBNS protein concentration_Accessibility	RBNS protein concentration_H3K27ac	Read length_Accessibility	Read length_H3K27ac	Run type_Accessibility	Run type_H3K27ac	Size_Accessibility	Size_H3K27ac	Technical replicate(s)_Accessibility	Technical replicate(s)_H3K27ac	dbxrefs_Accessibility	dbxrefs_H3K27ac	md5sum_Accessibility	md5sum_H3K27ac	s3_uri_Accessibility	s3_uri_H3K27ac
ID_0	endodermal_cell_5 days_1_1_endodermal_cell_originated_from_HUES64_0.0_1_2	0.0_0.0_0.0	DNase-seq	Histone ChIP-seq	0.0	0.0	0.0	0.0	0.0	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth	1	1	5 days	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	embryonic	endodermal_cell	endodermal_cell_originated_from_HUES64	CL:0000223	CL:0000223	endodermal cell	0.0	0.0	0.0	in vitro differentiated cells	in vitro differentiated cells	0.0	0.0	/files/ENCFF496RSW/, /files/ENCFF282WAV/, /files/ENCFF602VMH/, /files/ENCFF099UXO/, /files/ENCFF667SWK/	/files/ENCFF643CGH/, /files/ENCFF622OAL/, /files/ENCFF878IZP/	ENCSR166KPV	ENCSR200ETW	2017-12-13	2013-07-31	0.0	H3K27ac-human	released	released	ENCFF532LIH	ENCFF532LIH	ENCFF013UEN	ENCFF013UEN	GRCh38	https://www.encodeproject.org/files/ENCFF532LIH/@@download/ENCFF532LIH.bam	https://www.encodeproject.org/files/ENCFF013UEN/@@download/ENCFF013UEN.bam	bam	0.0	0.0	bam	0.0	0.0	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	Roadmap	0.0	0.0	0.0	0.0	single-ended	single-ended	9501058697	1494327026	1_1	1_2	0.0	0.0	bbb3cf8fffe5ebf6375cad5872b403d5	baecdb3f3a48bdd291bc6409ecc98416	s3://encode-public/2017/11/28/1fc93128-f315-49e2-88fa-4cb97c56bde1/ENCFF532LIH.bam	s3://encode-public/2016/12/19/b62eea88-0b72-4fd0-b4bd-a727600240e4/ENCFF013UEN.bam
ID_1	endodermal_cell_5 days_1_1_endodermal_cell_originated_from_HUES64_0.0_2_2	0.0_0.0_0.0	DNase-seq	Histone ChIP-seq	0.0	0.0	0.0	0.0	0.0	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth	1	2	5 days	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	embryonic	endodermal_cell	endodermal_cell_originated_from_HUES64	CL:0000223	CL:0000223	endodermal cell	0.0	0.0	0.0	in vitro differentiated cells	in vitro differentiated cells	0.0	0.0	/files/ENCFF496RSW/, /files/ENCFF282WAV/, /files/ENCFF602VMH/, /files/ENCFF099UXO/, /files/ENCFF667SWK/	/files/ENCFF441DST/, /files/ENCFF643CGH/, /files/ENCFF199QKQ/	ENCSR166KPV	ENCSR200ETW	2017-12-13	2013-07-31	0.0	H3K27ac-human	released	released	ENCFF532LIH	ENCFF532LIH	ENCFF345OQM	ENCFF345OQM	GRCh38	https://www.encodeproject.org/files/ENCFF532LIH/@@download/ENCFF532LIH.bam	https://www.encodeproject.org/files/ENCFF345OQM/@@download/ENCFF345OQM.bam	bam	0.0	0.0	bam	0.0	0.0	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	Roadmap	0.0	0.0	0.0	0.0	single-ended	single-ended	9501058697	1785417681	1_1	2_2	0.0	0.0	bbb3cf8fffe5ebf6375cad5872b403d5	936c3946574f9b0786f45332065e5cfc	s3://encode-public/2017/11/28/1fc93128-f315-49e2-88fa-4cb97c56bde1/ENCFF532LIH.bam	s3://encode-public/2016/12/19/139eeb88-b878-4178-a251-c55cb35211bd/ENCFF345OQM.bam
ID_2	endodermal_cell_5 days_2_1_endodermal_cell_originated_from_HUES64_0.0_1_2	0.0_0.0_0.0	DNase-seq	Histone ChIP-seq	0.0	0.0	0.0	0.0	0.0	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth	2	1	5 days	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	embryonic	endodermal_cell	endodermal_cell_originated_from_HUES64	CL:0000223	CL:0000223	endodermal cell	0.0	0.0	0.0	in vitro differentiated cells	in vitro differentiated cells	0.0	0.0	/files/ENCFF496RSW/, /files/ENCFF296YPN/, /files/ENCFF545TKW/, /files/ENCFF754PQR/, /files/ENCFF097SKE/	/files/ENCFF643CGH/, /files/ENCFF622OAL/, /files/ENCFF878IZP/	ENCSR166KPV	ENCSR200ETW	2017-12-13	2013-07-31	0.0	H3K27ac-human	released	released	ENCFF173CJD	ENCFF173CJD	ENCFF013UEN	ENCFF013UEN	GRCh38	https://www.encodeproject.org/files/ENCFF173CJD/@@download/ENCFF173CJD.bam	https://www.encodeproject.org/files/ENCFF013UEN/@@download/ENCFF013UEN.bam	bam	0.0	0.0	bam	0.0	0.0	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	Roadmap	0.0	0.0	0.0	0.0	single-ended	single-ended	16794765091	1494327026	2_1	1_2	0.0	0.0	fca3b63f7e9461b88f04af2e4d9b3757	baecdb3f3a48bdd291bc6409ecc98416	s3://encode-public/2017/11/28/2e3d6616-cb9c-44c4-9f36-09fb8e51b7a8/ENCFF173CJD.bam	s3://encode-public/2016/12/19/b62eea88-0b72-4fd0-b4bd-a727600240e4/ENCFF013UEN.bam
ID_3	endodermal_cell_5 days_2_1_endodermal_cell_originated_from_HUES64_0.0_2_2	0.0_0.0_0.0	DNase-seq	Histone ChIP-seq	0.0	0.0	0.0	0.0	0.0	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth	2	2	5 days	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	embryonic	endodermal_cell	endodermal_cell_originated_from_HUES64	CL:0000223	CL:0000223	endodermal cell	0.0	0.0	0.0	in vitro differentiated cells	in vitro differentiated cells	0.0	0.0	/files/ENCFF496RSW/, /files/ENCFF296YPN/, /files/ENCFF545TKW/, /files/ENCFF754PQR/, /files/ENCFF097SKE/	/files/ENCFF441DST/, /files/ENCFF643CGH/, /files/ENCFF199QKQ/	ENCSR166KPV	ENCSR200ETW	2017-12-13	2013-07-31	0.0	H3K27ac-human	released	released	ENCFF173CJD	ENCFF173CJD	ENCFF345OQM	ENCFF345OQM	GRCh38	https://www.encodeproject.org/files/ENCFF173CJD/@@download/ENCFF173CJD.bam	https://www.encodeproject.org/files/ENCFF345OQM/@@download/ENCFF345OQM.bam	bam	0.0	0.0	bam	0.0	0.0	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	Roadmap	0.0	0.0	0.0	0.0	single-ended	single-ended	16794765091	1785417681	2_1	2_2	0.0	0.0	fca3b63f7e9461b88f04af2e4d9b3757	936c3946574f9b0786f45332065e5cfc	s3://encode-public/2017/11/28/2e3d6616-cb9c-44c4-9f36-09fb8e51b7a8/ENCFF173CJD.bam	s3://encode-public/2016/12/19/139eeb88-b878-4178-a251-c55cb35211bd/ENCFF345OQM.bam
ID_4	H1_0.0_1_1_H1_0.0_1_1	0.0_0.0_0.0	DNase-seq	Histone ChIP-seq	0.0	0.0	0.0	0.0	low read depth, low spot score	low read depth, low read length, inconsistent platforms	1	1	0.0	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	embryonic	H1	H1	EFO:0003042	EFO:0003042	H1	0.0	0.0	0.0	cell line	cell line	0.0	0.0	/files/ENCFF001CVK/, /files/ENCFF496RSW/	/files/ENCFF000AWR/, /files/ENCFF643CGH/	ENCSR000EMU	ENCSR000ANP	2010-12-16	2011-02-10	0.0	H3K27ac-human	released	released	ENCFF674MNA	ENCFF674MNA	ENCFF654RIP	ENCFF654RIP_pooled	GRCh38	https://www.encodeproject.org/files/ENCFF674MNA/@@download/ENCFF674MNA.bam	https://www.encodeproject.org/files/ENCFF654RIP/@@download/ENCFF654RIP.bam	bam	0.0	0.0	bam	0.0	0.0	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	see document	see document	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	1508027392	1098909673	1_1	1_1	0.0	0.0	9f8e0c98ae840ab0ceb2673e7462db4d	85e422f170cd0cc5e224506b6ab63536	s3://encode-public/2016/10/23/b5a09cee-a678-4593-8ed5-4b1aaf0d0e9a/ENCFF674MNA.bam	s3://encode-public/2016/11/13/25831774-6843-4c65-a038-c16aa04f2d87/ENCFF654RIP.bam
ID_5	H1_0.0_1_1_H1_0.0_2_2	0.0_0.0_0.0	DNase-seq	Histone ChIP-seq	0.0	0.0	0.0	0.0	low read depth, low spot score	low read depth, low read length, inconsistent platforms	1	2	0.0	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	embryonic	H1	H1	EFO:0003042	EFO:0003042	H1	0.0	0.0	0.0	cell line	cell line	0.0	0.0	/files/ENCFF001CVK/, /files/ENCFF496RSW/	/files/ENCFF643CGH/, /files/ENCFF000AWV/	ENCSR000EMU	ENCSR000ANP	2010-12-16	2011-02-10	0.0	H3K27ac-human	released	released	ENCFF674MNA	ENCFF674MNA	ENCFF864UIC	ENCFF864UIC_pooled	GRCh38	https://www.encodeproject.org/files/ENCFF674MNA/@@download/ENCFF674MNA.bam	https://www.encodeproject.org/files/ENCFF864UIC/@@download/ENCFF864UIC.bam	bam	0.0	0.0	bam	0.0	0.0	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	see document	see document	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	1508027392	912689557	1_1	2_2	0.0	0.0	9f8e0c98ae840ab0ceb2673e7462db4d	c2af6fa409198ace819c2a9ab0603595	s3://encode-public/2016/10/23/b5a09cee-a678-4593-8ed5-4b1aaf0d0e9a/ENCFF674MNA.bam	s3://encode-public/2016/11/13/b51c1873-5dbf-498e-b375-f3ff36f1808e/ENCFF864UIC.bam
ID_6	osteoblast_0.0_1_1_osteoblast_0.0_1_1	0.0_0.0_0.0	DNase-seq	Histone ChIP-seq	0.0	0.0	insufficient read length	0.0	mixed read lengths	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth	1	1	0.0	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	unknown	osteoblast	osteoblast	CL:0000062	CL:0000062	osteoblast	0.0	0.0	0.0	primary cell	primary cell	0.0	0.0	/files/ENCFF000TCL/, /files/ENCFF496RSW/	/files/ENCFF000CVS/, /files/ENCFF643CGH/	ENCSR000ELJ	ENCSR000APH	2011-04-19	2011-02-10	0.0	H3K27ac-human	released	released	ENCFF458DOE	ENCFF458DOE_pooled	ENCFF900OOT	ENCFF900OOT	GRCh38	https://www.encodeproject.org/files/ENCFF458DOE/@@download/ENCFF458DOE.bam	https://www.encodeproject.org/files/ENCFF900OOT/@@download/ENCFF900OOT.bam	bam	0.0	0.0	bam	0.0	0.0	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	see document	see document	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	1706208355	1140242610	1_1	1_1	0.0	0.0	6aa3c67aa640d6898ae6715eb3f31cff	e86bbea10c24358ad66989065b821735	s3://encode-public/2017/09/18/a5c24c1f-2c63-41df-9de4-46d075aa1b3b/ENCFF458DOE.bam	s3://encode-public/2016/08/09/b14dbd89-4b81-4033-9ceb-a0f25de7447c/ENCFF900OOT.bam
ID_7	osteoblast_0.0_1_1_osteoblast_0.0_2_1	0.0_0.0_0.0	DNase-seq	Histone ChIP-seq	0.0	0.0	insufficient read length	0.0	mixed read lengths	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth	1	2	0.0	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	unknown	osteoblast	osteoblast	CL:0000062	CL:0000062	osteoblast	0.0	0.0	0.0	primary cell	primary cell	0.0	0.0	/files/ENCFF000TCL/, /files/ENCFF496RSW/	/files/ENCFF643CGH/, /files/ENCFF000CVU/	ENCSR000ELJ	ENCSR000APH	2011-04-19	2011-02-10	0.0	H3K27ac-human	released	released	ENCFF458DOE	ENCFF458DOE_pooled	ENCFF284EFV	ENCFF284EFV	GRCh38	https://www.encodeproject.org/files/ENCFF458DOE/@@download/ENCFF458DOE.bam	https://www.encodeproject.org/files/ENCFF284EFV/@@download/ENCFF284EFV.bam	bam	0.0	0.0	bam	0.0	0.0	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	see document	see document	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	1706208355	2079915441	1_1	2_1	0.0	0.0	6aa3c67aa640d6898ae6715eb3f31cff	8673272551649fbf7d7ab9552ccb3f48	s3://encode-public/2017/09/18/a5c24c1f-2c63-41df-9de4-46d075aa1b3b/ENCFF458DOE.bam	s3://encode-public/2016/08/09/e403d283-78a3-43f6-8c44-fba41b99639c/ENCFF284EFV.bam
ID_8	cardiac_muscle_cell_originated_from_RUES2_0.0_2_1_cardiac_muscle_cell_originated_from_RUES2_0.0_1_1	0.0_0.0_0.0	DNase-seq	Histone ChIP-seq	0.0	0.0	0.0	0.0	low spot score	0.0	2	1	0.0	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	embryonic	cardiac_muscle_cell_originated_from_RUES2	cardiac_muscle_cell_originated_from_RUES2	CL:0000746	CL:0000746	cardiac muscle cell	0.0	0.0	0.0	in vitro differentiated cells	in vitro differentiated cells	0.0	0.0	/files/ENCFF141PKL/, /files/ENCFF330PNU/, /files/ENCFF262HIW/, /files/ENCFF081PHP/, /files/ENCFF050MRV/, /files/ENCFF218JIY/, /files/ENCFF884HOA/	/files/ENCFF110MCL/, /files/ENCFF236ZHP/, /files/ENCFF766VGS/, /files/ENCFF143SXY/, /files/ENCFF232TCS/	ENCSR842KCP	ENCSR000NPF	2017-11-22	2016-11-12	0.0	H3K27ac-human	released	released	ENCFF976WRC	ENCFF976WRC	ENCFF044HUP	ENCFF044HUP	GRCh38	https://www.encodeproject.org/files/ENCFF976WRC/@@download/ENCFF976WRC.bam	https://www.encodeproject.org/files/ENCFF044HUP/@@download/ENCFF044HUP.bam	bam	0.0	0.0	bam	0.0	0.0	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	none, sonication (generic)	0.0	0.0	DNA	DNA	0.0	200-600	0.0	0.0	0.0	76.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	5961366821	2259593060	2_1	1_1	0.0	0.0	f19845622451e1638bbdf5fc20e42b9c	83cbdd7020d21ab6ae5ac50cb320c7f0	s3://encode-public/2020/10/24/d2956010-bf01-4579-96aa-dda05f2fa1a1/ENCFF976WRC.bam	s3://encode-public/2020/09/17/80c52c9b-da52-427d-8bf3-e277c0f57cc0/ENCFF044HUP.bam
ID_9	cardiac_muscle_cell_originated_from_RUES2_0.0_2_1_cardiac_muscle_cell_originated_from_RUES2_0.0_2_1	0.0_0.0_0.0	DNase-seq	Histone ChIP-seq	0.0	0.0	0.0	0.0	low spot score	0.0	2	2	0.0	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	embryonic	cardiac_muscle_cell_originated_from_RUES2	cardiac_muscle_cell_originated_from_RUES2	CL:0000746	CL:0000746	cardiac muscle cell	0.0	0.0	0.0	in vitro differentiated cells	in vitro differentiated cells	0.0	0.0	/files/ENCFF141PKL/, /files/ENCFF330PNU/, /files/ENCFF262HIW/, /files/ENCFF081PHP/, /files/ENCFF050MRV/, /files/ENCFF218JIY/, /files/ENCFF884HOA/	/files/ENCFF643CGH/, /files/ENCFF299TZK/, /files/ENCFF402UQN/, /files/ENCFF340KQN/, /files/ENCFF577YKS/, /files/ENCFF366LCI/, /files/ENCFF478OZK/	ENCSR842KCP	ENCSR000NPF	2017-11-22	2016-11-12	0.0	H3K27ac-human	released	released	ENCFF976WRC	ENCFF976WRC	ENCFF601FNZ	ENCFF601FNZ	GRCh38	https://www.encodeproject.org/files/ENCFF976WRC/@@download/ENCFF976WRC.bam	https://www.encodeproject.org/files/ENCFF601FNZ/@@download/ENCFF601FNZ.bam	bam	0.0	0.0	bam	0.0	0.0	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	none, sonication (generic)	0.0	0.0	DNA	DNA	0.0	200-600	0.0	0.0	0.0	76.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	5961366821	3563527566	2_1	2_1	0.0	0.0	f19845622451e1638bbdf5fc20e42b9c	2af9ec60bbfbbd9c30fda4658e31246b	s3://encode-public/2020/10/24/d2956010-bf01-4579-96aa-dda05f2fa1a1/ENCFF976WRC.bam	s3://encode-public/2016/11/04/7a90e5f5-8d5b-4824-b54d-dadc62cc7402/ENCFF601FNZ.bam
