numerical_id	unique_id	treatment_id	File accession_Accessibility	File format	File type	File format type_Accessibility	Output type	File assembly	Experiment accession_Accessibility	Assay_Accessibility	Biosample term id_Accessibility	Biosample term name	Biosample type_Accessibility	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates_Accessibility	Biosample genetic modifications zygosity_Accessibility	Experiment target_Accessibility	Library made from_Accessibility	Library depleted in_Accessibility	Library extraction method_Accessibility	Library lysis method_Accessibility	Library crosslinking method_Accessibility	Library strand specific_Accessibility	Experiment date released_Accessibility	Project_Accessibility	RBNS protein concentration_Accessibility	Library fragmentation method_Accessibility	Library size range_Accessibility	Biological replicate(s)_Accessibility	Technical replicate(s)_Accessibility	Read length_Accessibility	Mapped read length_Accessibility	Run type_Accessibility	Paired end_Accessibility	Paired with_Accessibility	Index of_Accessibility	Derived from_Accessibility	Size_Accessibility	Lab	md5sum_Accessibility	dbxrefs_Accessibility	File download URL_Accessibility	Genome annotation	Platform_Accessibility	Controlled by_Accessibility	File Status_Accessibility	s3_uri_Accessibility	Audit WARNING_Accessibility	Audit NOT_COMPLIANT_Accessibility	Audit ERROR_Accessibility	Biosample summary_Accessibility	Biosample stage	Biosample age_Accessibility	File accession_H3K27ac	File format type_H3K27ac	Experiment accession_H3K27ac	Assay_H3K27ac	Biosample term id_H3K27ac	Biosample type_H3K27ac	Biosample genetic modifications site coordinates_H3K27ac	Biosample genetic modifications zygosity_H3K27ac	Experiment target_H3K27ac	Library made from_H3K27ac	Library depleted in_H3K27ac	Library extraction method_H3K27ac	Library lysis method_H3K27ac	Library crosslinking method_H3K27ac	Library strand specific_H3K27ac	Experiment date released_H3K27ac	Project_H3K27ac	RBNS protein concentration_H3K27ac	Library fragmentation method_H3K27ac	Library size range_H3K27ac	Biological replicate(s)_H3K27ac	Technical replicate(s)_H3K27ac	Read length_H3K27ac	Mapped read length_H3K27ac	Run type_H3K27ac	Paired end_H3K27ac	Paired with_H3K27ac	Index of_H3K27ac	Derived from_H3K27ac	Size_H3K27ac	md5sum_H3K27ac	dbxrefs_H3K27ac	File download URL_H3K27ac	Platform_H3K27ac	Controlled by_H3K27ac	File Status_H3K27ac	s3_uri_H3K27ac	Audit WARNING_H3K27ac	Audit NOT_COMPLIANT_H3K27ac	Audit ERROR_H3K27ac	Biosample summary_H3K27ac	Biosample age_H3K27ac	File accession_H3K27ac bam	File accession_Accessibility bam
ID_0	endodermal_cell_5_days_1_1_endodermal_cell_originated_from_HUES64_0.0_1_2	0.0_0.0_0.0	ENCFF532LIH	bam	bam	0.0	unfiltered alignments	GRCh38	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2017-12-13	ENCODE	0.0	0.0	0.0	1	1_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF496RSW/, /files/ENCFF282WAV/, /files/ENCFF602VMH/, /files/ENCFF099UXO/, /files/ENCFF667SWK/	9501058697	ENCODE Processing Pipeline	bbb3cf8fffe5ebf6375cad5872b403d5	0.0	https://www.encodeproject.org/files/ENCFF532LIH/@@download/ENCFF532LIH.bam	0.0	0.0	0.0	released	s3://encode-public/2017/11/28/1fc93128-f315-49e2-88fa-4cb97c56bde1/ENCFF532LIH.bam	0.0	0.0	0.0	endodermal_cell	embryonic	5 days	ENCFF013UEN	0.0	ENCSR200ETW	Histone ChIP-seq	CL:0000223	in vitro differentiated cells	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2013-07-31	Roadmap	0.0	0.0	0.0	1	1_2	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF643CGH/, /files/ENCFF622OAL/, /files/ENCFF878IZP/	1494327026	baecdb3f3a48bdd291bc6409ecc98416	0.0	https://www.encodeproject.org/files/ENCFF013UEN/@@download/ENCFF013UEN.bam	0.0	0.0	released	s3://encode-public/2016/12/19/b62eea88-0b72-4fd0-b4bd-a727600240e4/ENCFF013UEN.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth	0.0	0.0	endodermal_cell_originated_from_HUES64	0.0	ENCFF013UEN	ENCFF532LIH
ID_1	endodermal_cell_5_days_1_1_endodermal_cell_originated_from_HUES64_0.0_2_2	0.0_0.0_0.0	ENCFF532LIH	bam	bam	0.0	unfiltered alignments	GRCh38	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2017-12-13	ENCODE	0.0	0.0	0.0	1	1_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF496RSW/, /files/ENCFF282WAV/, /files/ENCFF602VMH/, /files/ENCFF099UXO/, /files/ENCFF667SWK/	9501058697	ENCODE Processing Pipeline	bbb3cf8fffe5ebf6375cad5872b403d5	0.0	https://www.encodeproject.org/files/ENCFF532LIH/@@download/ENCFF532LIH.bam	0.0	0.0	0.0	released	s3://encode-public/2017/11/28/1fc93128-f315-49e2-88fa-4cb97c56bde1/ENCFF532LIH.bam	0.0	0.0	0.0	endodermal_cell	embryonic	5 days	ENCFF345OQM	0.0	ENCSR200ETW	Histone ChIP-seq	CL:0000223	in vitro differentiated cells	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2013-07-31	Roadmap	0.0	0.0	0.0	2	2_2	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF441DST/, /files/ENCFF643CGH/, /files/ENCFF199QKQ/	1785417681	936c3946574f9b0786f45332065e5cfc	0.0	https://www.encodeproject.org/files/ENCFF345OQM/@@download/ENCFF345OQM.bam	0.0	0.0	released	s3://encode-public/2016/12/19/139eeb88-b878-4178-a251-c55cb35211bd/ENCFF345OQM.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth	0.0	0.0	endodermal_cell_originated_from_HUES64	0.0	ENCFF345OQM	ENCFF532LIH
ID_2	endodermal_cell_5_days_2_1_endodermal_cell_originated_from_HUES64_0.0_1_2	0.0_0.0_0.0	ENCFF173CJD	bam	bam	0.0	unfiltered alignments	GRCh38	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2017-12-13	ENCODE	0.0	0.0	0.0	2	2_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF496RSW/, /files/ENCFF296YPN/, /files/ENCFF545TKW/, /files/ENCFF754PQR/, /files/ENCFF097SKE/	16794765091	ENCODE Processing Pipeline	fca3b63f7e9461b88f04af2e4d9b3757	0.0	https://www.encodeproject.org/files/ENCFF173CJD/@@download/ENCFF173CJD.bam	0.0	0.0	0.0	released	s3://encode-public/2017/11/28/2e3d6616-cb9c-44c4-9f36-09fb8e51b7a8/ENCFF173CJD.bam	0.0	0.0	0.0	endodermal_cell	embryonic	5 days	ENCFF013UEN	0.0	ENCSR200ETW	Histone ChIP-seq	CL:0000223	in vitro differentiated cells	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2013-07-31	Roadmap	0.0	0.0	0.0	1	1_2	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF643CGH/, /files/ENCFF622OAL/, /files/ENCFF878IZP/	1494327026	baecdb3f3a48bdd291bc6409ecc98416	0.0	https://www.encodeproject.org/files/ENCFF013UEN/@@download/ENCFF013UEN.bam	0.0	0.0	released	s3://encode-public/2016/12/19/b62eea88-0b72-4fd0-b4bd-a727600240e4/ENCFF013UEN.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth	0.0	0.0	endodermal_cell_originated_from_HUES64	0.0	ENCFF013UEN	ENCFF173CJD
ID_3	endodermal_cell_5_days_2_1_endodermal_cell_originated_from_HUES64_0.0_2_2	0.0_0.0_0.0	ENCFF173CJD	bam	bam	0.0	unfiltered alignments	GRCh38	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2017-12-13	ENCODE	0.0	0.0	0.0	2	2_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF496RSW/, /files/ENCFF296YPN/, /files/ENCFF545TKW/, /files/ENCFF754PQR/, /files/ENCFF097SKE/	16794765091	ENCODE Processing Pipeline	fca3b63f7e9461b88f04af2e4d9b3757	0.0	https://www.encodeproject.org/files/ENCFF173CJD/@@download/ENCFF173CJD.bam	0.0	0.0	0.0	released	s3://encode-public/2017/11/28/2e3d6616-cb9c-44c4-9f36-09fb8e51b7a8/ENCFF173CJD.bam	0.0	0.0	0.0	endodermal_cell	embryonic	5 days	ENCFF345OQM	0.0	ENCSR200ETW	Histone ChIP-seq	CL:0000223	in vitro differentiated cells	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2013-07-31	Roadmap	0.0	0.0	0.0	2	2_2	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF441DST/, /files/ENCFF643CGH/, /files/ENCFF199QKQ/	1785417681	936c3946574f9b0786f45332065e5cfc	0.0	https://www.encodeproject.org/files/ENCFF345OQM/@@download/ENCFF345OQM.bam	0.0	0.0	released	s3://encode-public/2016/12/19/139eeb88-b878-4178-a251-c55cb35211bd/ENCFF345OQM.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth	0.0	0.0	endodermal_cell_originated_from_HUES64	0.0	ENCFF345OQM	ENCFF173CJD
ID_4	H1_0.0_1_1_H1_0.0_1_1	0.0_0.0_0.0	ENCFF674MNA	bam	bam	0.0	unfiltered alignments	GRCh38	ENCSR000EMU	DNase-seq	EFO:0003042	H1	cell line	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2010-12-16	ENCODE	0.0	see document	0.0	1	1_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF001CVK/, /files/ENCFF496RSW/	1508027392	ENCODE Processing Pipeline	9f8e0c98ae840ab0ceb2673e7462db4d	0.0	https://www.encodeproject.org/files/ENCFF674MNA/@@download/ENCFF674MNA.bam	0.0	0.0	0.0	released	s3://encode-public/2016/10/23/b5a09cee-a678-4593-8ed5-4b1aaf0d0e9a/ENCFF674MNA.bam	low read depth, low spot score	0.0	0.0	H1	embryonic	0.0	ENCFF654RIP	0.0	ENCSR000ANP	Histone ChIP-seq	EFO:0003042	cell line	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2011-02-10	ENCODE	0.0	see document	0.0	1	1_1	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF000AWR/, /files/ENCFF643CGH/	1098909673	85e422f170cd0cc5e224506b6ab63536	0.0	https://www.encodeproject.org/files/ENCFF654RIP/@@download/ENCFF654RIP.bam	0.0	0.0	released	s3://encode-public/2016/11/13/25831774-6843-4c65-a038-c16aa04f2d87/ENCFF654RIP.bam	low read depth, low read length, inconsistent platforms	0.0	0.0	H1	0.0	ENCFF654RIP_pooled	ENCFF674MNA
ID_5	H1_0.0_1_1_H1_0.0_2_2	0.0_0.0_0.0	ENCFF674MNA	bam	bam	0.0	unfiltered alignments	GRCh38	ENCSR000EMU	DNase-seq	EFO:0003042	H1	cell line	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2010-12-16	ENCODE	0.0	see document	0.0	1	1_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF001CVK/, /files/ENCFF496RSW/	1508027392	ENCODE Processing Pipeline	9f8e0c98ae840ab0ceb2673e7462db4d	0.0	https://www.encodeproject.org/files/ENCFF674MNA/@@download/ENCFF674MNA.bam	0.0	0.0	0.0	released	s3://encode-public/2016/10/23/b5a09cee-a678-4593-8ed5-4b1aaf0d0e9a/ENCFF674MNA.bam	low read depth, low spot score	0.0	0.0	H1	embryonic	0.0	ENCFF864UIC	0.0	ENCSR000ANP	Histone ChIP-seq	EFO:0003042	cell line	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2011-02-10	ENCODE	0.0	see document	0.0	2	2_2	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF643CGH/, /files/ENCFF000AWV/	912689557	c2af6fa409198ace819c2a9ab0603595	0.0	https://www.encodeproject.org/files/ENCFF864UIC/@@download/ENCFF864UIC.bam	0.0	0.0	released	s3://encode-public/2016/11/13/b51c1873-5dbf-498e-b375-f3ff36f1808e/ENCFF864UIC.bam	low read depth, low read length, inconsistent platforms	0.0	0.0	H1	0.0	ENCFF864UIC_pooled	ENCFF674MNA
ID_6	osteoblast_0.0_1_1_osteoblast_0.0_1_1	0.0_0.0_0.0	ENCFF458DOE	bam	bam	0.0	unfiltered alignments	GRCh38	ENCSR000ELJ	DNase-seq	CL:0000062	osteoblast	primary cell	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2011-04-19	ENCODE	0.0	see document	0.0	1	1_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF000TCL/, /files/ENCFF496RSW/	1706208355	ENCODE Processing Pipeline	6aa3c67aa640d6898ae6715eb3f31cff	0.0	https://www.encodeproject.org/files/ENCFF458DOE/@@download/ENCFF458DOE.bam	0.0	0.0	0.0	released	s3://encode-public/2017/09/18/a5c24c1f-2c63-41df-9de4-46d075aa1b3b/ENCFF458DOE.bam	mixed read lengths	insufficient read length	0.0	osteoblast	unknown	0.0	ENCFF900OOT	0.0	ENCSR000APH	Histone ChIP-seq	CL:0000062	primary cell	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2011-02-10	ENCODE	0.0	see document	0.0	1	1_1	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF000CVS/, /files/ENCFF643CGH/	1140242610	e86bbea10c24358ad66989065b821735	0.0	https://www.encodeproject.org/files/ENCFF900OOT/@@download/ENCFF900OOT.bam	0.0	0.0	released	s3://encode-public/2016/08/09/b14dbd89-4b81-4033-9ceb-a0f25de7447c/ENCFF900OOT.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth	0.0	0.0	osteoblast	0.0	ENCFF900OOT	ENCFF458DOE_pooled
ID_7	osteoblast_0.0_1_1_osteoblast_0.0_2_1	0.0_0.0_0.0	ENCFF458DOE	bam	bam	0.0	unfiltered alignments	GRCh38	ENCSR000ELJ	DNase-seq	CL:0000062	osteoblast	primary cell	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2011-04-19	ENCODE	0.0	see document	0.0	1	1_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF000TCL/, /files/ENCFF496RSW/	1706208355	ENCODE Processing Pipeline	6aa3c67aa640d6898ae6715eb3f31cff	0.0	https://www.encodeproject.org/files/ENCFF458DOE/@@download/ENCFF458DOE.bam	0.0	0.0	0.0	released	s3://encode-public/2017/09/18/a5c24c1f-2c63-41df-9de4-46d075aa1b3b/ENCFF458DOE.bam	mixed read lengths	insufficient read length	0.0	osteoblast	unknown	0.0	ENCFF284EFV	0.0	ENCSR000APH	Histone ChIP-seq	CL:0000062	primary cell	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2011-02-10	ENCODE	0.0	see document	0.0	2	2_1	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF643CGH/, /files/ENCFF000CVU/	2079915441	8673272551649fbf7d7ab9552ccb3f48	0.0	https://www.encodeproject.org/files/ENCFF284EFV/@@download/ENCFF284EFV.bam	0.0	0.0	released	s3://encode-public/2016/08/09/e403d283-78a3-43f6-8c44-fba41b99639c/ENCFF284EFV.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth	0.0	0.0	osteoblast	0.0	ENCFF284EFV	ENCFF458DOE_pooled
ID_8	cardiac_muscle_cell_originated_from_RUES2_0.0_2_1_cardiac_muscle_cell_originated_from_RUES2_0.0_1_1	0.0_0.0_0.0	ENCFF976WRC	bam	bam	0.0	unfiltered alignments	GRCh38	ENCSR842KCP	DNase-seq	CL:0000746	cardiac muscle cell	in vitro differentiated cells	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2017-11-22	ENCODE	0.0	0.0	0.0	2	2_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF141PKL/, /files/ENCFF330PNU/, /files/ENCFF262HIW/, /files/ENCFF081PHP/, /files/ENCFF050MRV/, /files/ENCFF218JIY/, /files/ENCFF884HOA/	5961366821	ENCODE Processing Pipeline	f19845622451e1638bbdf5fc20e42b9c	0.0	https://www.encodeproject.org/files/ENCFF976WRC/@@download/ENCFF976WRC.bam	0.0	0.0	0.0	released	s3://encode-public/2020/10/24/d2956010-bf01-4579-96aa-dda05f2fa1a1/ENCFF976WRC.bam	low spot score	0.0	0.0	cardiac_muscle_cell_originated_from_RUES2	embryonic	0.0	ENCFF044HUP	0.0	ENCSR000NPF	Histone ChIP-seq	CL:0000746	in vitro differentiated cells	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2016-11-12	ENCODE	0.0	none, sonication (generic)	200-600	1	1_1	0.0	76.0	single-ended	0.0	0.0	0.0	/files/ENCFF110MCL/, /files/ENCFF236ZHP/, /files/ENCFF766VGS/, /files/ENCFF143SXY/, /files/ENCFF232TCS/	2259593060	83cbdd7020d21ab6ae5ac50cb320c7f0	0.0	https://www.encodeproject.org/files/ENCFF044HUP/@@download/ENCFF044HUP.bam	0.0	0.0	released	s3://encode-public/2020/09/17/80c52c9b-da52-427d-8bf3-e277c0f57cc0/ENCFF044HUP.bam	0.0	0.0	0.0	cardiac_muscle_cell_originated_from_RUES2	0.0	ENCFF044HUP	ENCFF976WRC
ID_9	cardiac_muscle_cell_originated_from_RUES2_0.0_2_1_cardiac_muscle_cell_originated_from_RUES2_0.0_2_1	0.0_0.0_0.0	ENCFF976WRC	bam	bam	0.0	unfiltered alignments	GRCh38	ENCSR842KCP	DNase-seq	CL:0000746	cardiac muscle cell	in vitro differentiated cells	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2017-11-22	ENCODE	0.0	0.0	0.0	2	2_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF141PKL/, /files/ENCFF330PNU/, /files/ENCFF262HIW/, /files/ENCFF081PHP/, /files/ENCFF050MRV/, /files/ENCFF218JIY/, /files/ENCFF884HOA/	5961366821	ENCODE Processing Pipeline	f19845622451e1638bbdf5fc20e42b9c	0.0	https://www.encodeproject.org/files/ENCFF976WRC/@@download/ENCFF976WRC.bam	0.0	0.0	0.0	released	s3://encode-public/2020/10/24/d2956010-bf01-4579-96aa-dda05f2fa1a1/ENCFF976WRC.bam	low spot score	0.0	0.0	cardiac_muscle_cell_originated_from_RUES2	embryonic	0.0	ENCFF601FNZ	0.0	ENCSR000NPF	Histone ChIP-seq	CL:0000746	in vitro differentiated cells	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2016-11-12	ENCODE	0.0	none, sonication (generic)	200-600	2	2_1	0.0	76.0	single-ended	0.0	0.0	0.0	/files/ENCFF643CGH/, /files/ENCFF299TZK/, /files/ENCFF402UQN/, /files/ENCFF340KQN/, /files/ENCFF577YKS/, /files/ENCFF366LCI/, /files/ENCFF478OZK/	3563527566	2af9ec60bbfbbd9c30fda4658e31246b	0.0	https://www.encodeproject.org/files/ENCFF601FNZ/@@download/ENCFF601FNZ.bam	0.0	0.0	released	s3://encode-public/2016/11/04/7a90e5f5-8d5b-4824-b54d-dadc62cc7402/ENCFF601FNZ.bam	0.0	0.0	0.0	cardiac_muscle_cell_originated_from_RUES2	0.0	ENCFF601FNZ	ENCFF976WRC
