File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF597SLV	bam	bam		alignments	GRCh38	ENCSR220ASC	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens											DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	2	2_1							/files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/ENCFF419RSJ/, /files/ENCFF793VAW/	1131793941	Tim Reddy, Duke	6101f9543f5f6d654a444f88c5c582d5		https://www.encodeproject.org/files/ENCFF597SLV/@@download/ENCFF597SLV.bam				released	s3://encode-public/2018/03/28/80fe92f4-59de-456d-a9b8-6e6f54a08831/ENCFF597SLV.bam			
ENCFF248HDS	bam	bam		alignments	GRCh38	ENCSR220ASC	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens											DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	3	3_1							/files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/ENCFF419RSJ/, /files/ENCFF224EAV/	1031953181	Tim Reddy, Duke	140ca65927ee29aed79249e261ab3253		https://www.encodeproject.org/files/ENCFF248HDS/@@download/ENCFF248HDS.bam				released	s3://encode-public/2018/03/28/49343a07-6753-4b4c-bfe0-481cbf293b79/ENCFF248HDS.bam			
ENCFF978DQZ	bam	bam		alignments	GRCh38	ENCSR220ASC	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens											DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	1	1_1							/files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/ENCFF419RSJ/, /files/ENCFF022FVS/	1019837909	Tim Reddy, Duke	99166845972fa74c9230ab6930578918		https://www.encodeproject.org/files/ENCFF978DQZ/@@download/ENCFF978DQZ.bam				released	s3://encode-public/2018/03/28/ad12db6a-dbe9-4695-a6b1-e38ddd463d3f/ENCFF978DQZ.bam			
ENCFF214ASZ	bam	bam		alignments	GRCh38	ENCSR288YMH	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	4 hour								DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	1	1_1							/files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/ENCFF419RSJ/, /files/ENCFF420ZSO/	1183539727	Tim Reddy, Duke	c8edde3650aa60236976d1cfce6212ef		https://www.encodeproject.org/files/ENCFF214ASZ/@@download/ENCFF214ASZ.bam				released	s3://encode-public/2018/03/28/84b8a82d-4e89-42c0-ad9d-93007b726f73/ENCFF214ASZ.bam			
ENCFF210BHM	bam	bam		alignments	GRCh38	ENCSR288YMH	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	4 hour								DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	2	2_1							/files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/ENCFF419RSJ/, /files/ENCFF358LJV/	1195933190	Tim Reddy, Duke	a9ee05a1a0b6e2edb478826a30cbc01b		https://www.encodeproject.org/files/ENCFF210BHM/@@download/ENCFF210BHM.bam				released	s3://encode-public/2018/03/28/53c8e456-9923-45ed-b9e8-166f2814e8ca/ENCFF210BHM.bam			
ENCFF590QJA	bam	bam		alignments	GRCh38	ENCSR288YMH	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	4 hour								DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	3	3_1							/files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/ENCFF419RSJ/, /files/ENCFF834KFX/	1124547652	Tim Reddy, Duke	c34e324c47d5f3b9fcf9fb0211dcd6d1		https://www.encodeproject.org/files/ENCFF590QJA/@@download/ENCFF590QJA.bam				released	s3://encode-public/2018/03/28/5e16198b-208c-4d5b-9a8e-285b420ab39d/ENCFF590QJA.bam			
ENCFF426DGP	bam	bam		alignments	GRCh38	ENCSR074AHH	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	8 hour								DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	2	2_1							/files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/ENCFF419RSJ/, /files/ENCFF744SXE/	1357349952	Tim Reddy, Duke	0b322ba376cc9dac4baa1cc79876a0e9		https://www.encodeproject.org/files/ENCFF426DGP/@@download/ENCFF426DGP.bam				released	s3://encode-public/2018/03/28/274d4b4d-3309-4e1a-8ac4-0a278ec752f6/ENCFF426DGP.bam			
ENCFF766EGP	bam	bam		alignments	GRCh38	ENCSR074AHH	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	8 hour								DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	1	1_1							/files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/ENCFF419RSJ/, /files/ENCFF888HBH/	1293954268	Tim Reddy, Duke	a2fd5b81a48f0227892e182e26a127aa		https://www.encodeproject.org/files/ENCFF766EGP/@@download/ENCFF766EGP.bam				released	s3://encode-public/2018/03/28/7f3ffd51-a1c5-488e-a307-742849cb9648/ENCFF766EGP.bam			
ENCFF350EWF	bam	bam		alignments	GRCh38	ENCSR074AHH	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	8 hour								DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	3	3_1							/files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/ENCFF419RSJ/, /files/ENCFF799HXV/	1068081053	Tim Reddy, Duke	73b5217223f260230ec1783c31c08d3a		https://www.encodeproject.org/files/ENCFF350EWF/@@download/ENCFF350EWF.bam				released	s3://encode-public/2018/03/28/d67e9ab2-8bb8-4b20-8dcc-80c787a3dd23/ENCFF350EWF.bam			
ENCFF349HIL	bam	bam		alignments	GRCh38	ENCSR265ZXX	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	12 hour								DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	2	2_1							/files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/ENCFF419RSJ/, /files/ENCFF610JYD/	1176432206	Tim Reddy, Duke	7c8021b8654a1e4a8ef043da45402d5a		https://www.encodeproject.org/files/ENCFF349HIL/@@download/ENCFF349HIL.bam				released	s3://encode-public/2018/03/28/fa1e7335-5c7a-4609-b026-2ef121c514b4/ENCFF349HIL.bam			
