File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF545QSU	bam	bam		unfiltered alignments	GRCh38	ENCSR752EPH	DNase-seq	EFO:0001200	MCF 10A	cell line	Homo sapiens	tamoxifen	1.0 μM	24.0 hour								DNA						2018-01-29	ENCODE				1	1_2							/files/ENCFF461IGO/, /files/ENCFF961ZVJ/, /files/ENCFF463BBS/, /files/ENCFF496RSW/	1919735199	ENCODE Processing Pipeline	3251e63b5a6bca8a733ee3800eec8240		https://www.encodeproject.org/files/ENCFF545QSU/@@download/ENCFF545QSU.bam				released	s3://encode-public/2018/01/18/73eb7181-852b-4403-9e2d-d610e4ba25a7/ENCFF545QSU.bam		unreplicated experiment	
ENCFF890XPM	bam	bam		unfiltered alignments	GRCh38	ENCSR752EPH	DNase-seq	EFO:0001200	MCF 10A	cell line	Homo sapiens	tamoxifen	1.0 μM	24.0 hour								DNA						2018-01-29	ENCODE				1	1_1							/files/ENCFF496RSW/, /files/ENCFF152EUT/, /files/ENCFF044HKE/, /files/ENCFF387LLQ/, /files/ENCFF755MFM/	19367755309	ENCODE Processing Pipeline	7a98d73ce4dbd2f5039cb8f5c9db4e85		https://www.encodeproject.org/files/ENCFF890XPM/@@download/ENCFF890XPM.bam				released	s3://encode-public/2018/01/18/ecc54974-92c9-4ca5-9e3a-07052ac5000b/ENCFF890XPM.bam		unreplicated experiment	
ENCFF246WMU	bam	bam		alignments	GRCh38	ENCSR752EPH	DNase-seq	EFO:0001200	MCF 10A	cell line	Homo sapiens	tamoxifen	1.0 μM	24.0 hour								DNA						2018-01-29	ENCODE				1	1_1, 1_2							/files/ENCFF890XPM/, /files/ENCFF545QSU/	18047371856	ENCODE Processing Pipeline	75fe334960607d26fc77cca73bac18e9		https://www.encodeproject.org/files/ENCFF246WMU/@@download/ENCFF246WMU.bam				released	s3://encode-public/2018/01/18/607da93c-4b46-4f88-9b6e-4275db523c89/ENCFF246WMU.bam		unreplicated experiment	
ENCFF766UHF	bam	bam		unfiltered alignments	GRCh38	ENCSR752EPH	DNase-seq	EFO:0001200	MCF 10A	cell line	Homo sapiens	tamoxifen	1.0 μM	24.0 hour								DNA						2018-01-29	ENCODE				1	1_1, 1_2							/files/ENCFF044HKE/, /files/ENCFF152EUT/, /files/ENCFF463BBS/, /files/ENCFF461IGO/, /files/ENCFF755MFM/, /files/ENCFF884HOA/, /files/ENCFF961ZVJ/, /files/ENCFF387LLQ/	28402419597	ENCODE Processing Pipeline	7536e6108b51d16bfcfb6dfb2944b7e5		https://www.encodeproject.org/files/ENCFF766UHF/@@download/ENCFF766UHF.bam				released	s3://encode-public/2020/11/06/8caebc43-9bb1-4b1b-807f-faa85c1c1447/ENCFF766UHF.bam		unreplicated experiment	
ENCFF481MNH	bam	bam		alignments	GRCh38	ENCSR752EPH	DNase-seq	EFO:0001200	MCF 10A	cell line	Homo sapiens	tamoxifen	1.0 μM	24.0 hour								DNA						2018-01-29	ENCODE				1	1_1, 1_2							/files/ENCFF766UHF/, /files/ENCFF762MJQ/	14914280194	ENCODE Processing Pipeline	08fe4b64607b861188cc1b6dd7dfde27		https://www.encodeproject.org/files/ENCFF481MNH/@@download/ENCFF481MNH.bam				released	s3://encode-public/2020/11/06/4c742264-3b82-40b1-941e-4c259385ae48/ENCFF481MNH.bam		unreplicated experiment	
ENCFF996MDG	bam	bam		alignments	GRCh38	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens											DNA						2017-12-13	ENCODE				1	1_1							/files/ENCFF532LIH/	8038371192	ENCODE Processing Pipeline	b5c128a2b54c0ba8c340a1a401d4b716		https://www.encodeproject.org/files/ENCFF996MDG/@@download/ENCFF996MDG.bam				released	s3://encode-public/2017/11/28/f80f6dce-011f-4988-bfc5-33fbf5c6e14e/ENCFF996MDG.bam			
ENCFF532LIH	bam	bam		unfiltered alignments	GRCh38	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens											DNA						2017-12-13	ENCODE				1	1_1							/files/ENCFF496RSW/, /files/ENCFF282WAV/, /files/ENCFF602VMH/, /files/ENCFF099UXO/, /files/ENCFF667SWK/	9501058697	ENCODE Processing Pipeline	bbb3cf8fffe5ebf6375cad5872b403d5		https://www.encodeproject.org/files/ENCFF532LIH/@@download/ENCFF532LIH.bam				released	s3://encode-public/2017/11/28/1fc93128-f315-49e2-88fa-4cb97c56bde1/ENCFF532LIH.bam			
ENCFF500YPK	bam	bam		alignments	GRCh38	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens											DNA						2017-12-13	ENCODE				2	2_1							/files/ENCFF173CJD/	13921588171	ENCODE Processing Pipeline	e395e6608083282c96441a7dcfba7d7a		https://www.encodeproject.org/files/ENCFF500YPK/@@download/ENCFF500YPK.bam				released	s3://encode-public/2017/11/28/305033cc-3561-47be-a91a-29dccf6aeba0/ENCFF500YPK.bam			
ENCFF173CJD	bam	bam		unfiltered alignments	GRCh38	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens											DNA						2017-12-13	ENCODE				2	2_1							/files/ENCFF496RSW/, /files/ENCFF296YPN/, /files/ENCFF545TKW/, /files/ENCFF754PQR/, /files/ENCFF097SKE/	16794765091	ENCODE Processing Pipeline	fca3b63f7e9461b88f04af2e4d9b3757		https://www.encodeproject.org/files/ENCFF173CJD/@@download/ENCFF173CJD.bam				released	s3://encode-public/2017/11/28/2e3d6616-cb9c-44c4-9f36-09fb8e51b7a8/ENCFF173CJD.bam			
ENCFF106NQV	bam	bam		unfiltered alignments	hg19	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens											DNA						2017-12-13	ENCODE				1	1_1							/files/ENCFF549HLL/, /files/ENCFF282WAV/, /files/ENCFF602VMH/, /files/ENCFF099UXO/, /files/ENCFF667SWK/	9456933337	ENCODE Processing Pipeline	8fc26a88f7cbc224f3aaf0d2de667d01		https://www.encodeproject.org/files/ENCFF106NQV/@@download/ENCFF106NQV.bam				released	s3://encode-public/2017/12/05/0a9e4dc8-eae6-4822-8b9a-ef5624ab08cc/ENCFF106NQV.bam			
