File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF900OOT	bam	bam		unfiltered alignments	GRCh38	ENCSR000APH	Histone ChIP-seq	CL:0000062	osteoblast	primary cell	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE		see document		1	1_1		36					/files/ENCFF000CVS/, /files/ENCFF643CGH/	1140242610	ENCODE Processing Pipeline	e86bbea10c24358ad66989065b821735		https://www.encodeproject.org/files/ENCFF900OOT/@@download/ENCFF900OOT.bam				released	s3://encode-public/2016/08/09/b14dbd89-4b81-4033-9ceb-a0f25de7447c/ENCFF900OOT.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth		
ENCFF835QFJ	bam	bam		alignments	GRCh38	ENCSR000APH	Histone ChIP-seq	CL:0000062	osteoblast	primary cell	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE		see document		1	1_1		36					/files/ENCFF000CVS/, /files/ENCFF643CGH/	454954696	ENCODE Processing Pipeline	005776dcc1f570144b6045dede762bf3		https://www.encodeproject.org/files/ENCFF835QFJ/@@download/ENCFF835QFJ.bam				released	s3://encode-public/2016/08/09/5e99a93f-f4ce-47a5-926f-3dbbc347696d/ENCFF835QFJ.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth		
ENCFF284EFV	bam	bam		unfiltered alignments	GRCh38	ENCSR000APH	Histone ChIP-seq	CL:0000062	osteoblast	primary cell	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE		see document		2	2_1		36					/files/ENCFF643CGH/, /files/ENCFF000CVU/	2079915441	ENCODE Processing Pipeline	8673272551649fbf7d7ab9552ccb3f48		https://www.encodeproject.org/files/ENCFF284EFV/@@download/ENCFF284EFV.bam				released	s3://encode-public/2016/08/09/e403d283-78a3-43f6-8c44-fba41b99639c/ENCFF284EFV.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth		
ENCFF155WZC	bam	bam		alignments	GRCh38	ENCSR000APH	Histone ChIP-seq	CL:0000062	osteoblast	primary cell	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE		see document		2	2_1		36					/files/ENCFF643CGH/, /files/ENCFF000CVU/	1411876743	ENCODE Processing Pipeline	1b57cdc0422e078161df9cabe413f4db		https://www.encodeproject.org/files/ENCFF155WZC/@@download/ENCFF155WZC.bam				released	s3://encode-public/2016/08/09/47ae1783-8718-4f89-b92a-88b9d0ec9ec9/ENCFF155WZC.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth		
ENCFF535AIK	bam	bam		alignments	hg19	ENCSR000APH	Histone ChIP-seq	CL:0000062	osteoblast	primary cell	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE		see document		1	1_1		36					/files/ENCFF000CVS/, /files/ENCFF807MUK/	455401889	ENCODE Processing Pipeline	c130ebb784a241c841f266548aa9aafe		https://www.encodeproject.org/files/ENCFF535AIK/@@download/ENCFF535AIK.bam				released	s3://encode-public/2017/04/04/9a0b01df-d5ba-4ea5-af8a-0ba413d667da/ENCFF535AIK.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth		
ENCFF449YBK	bam	bam		unfiltered alignments	hg19	ENCSR000APH	Histone ChIP-seq	CL:0000062	osteoblast	primary cell	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE		see document		1	1_1		36					/files/ENCFF000CVS/, /files/ENCFF807MUK/	1139088129	ENCODE Processing Pipeline	70eb8f0378dd9567280e8042ae06a16e		https://www.encodeproject.org/files/ENCFF449YBK/@@download/ENCFF449YBK.bam				released	s3://encode-public/2017/04/04/c61068cd-ec55-4bca-a6b8-234de15e6857/ENCFF449YBK.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth		
ENCFF767YLX	bam	bam		alignments	hg19	ENCSR000APH	Histone ChIP-seq	CL:0000062	osteoblast	primary cell	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE		see document		2	2_1		36					/files/ENCFF807MUK/, /files/ENCFF000CVU/	1413016909	ENCODE Processing Pipeline	e48058f7f9980e2b05ff7aa7b577a7f9		https://www.encodeproject.org/files/ENCFF767YLX/@@download/ENCFF767YLX.bam				released	s3://encode-public/2017/04/04/bed0e3d2-37fa-429c-84ee-884dfb10a211/ENCFF767YLX.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth		
ENCFF817FSB	bam	bam		unfiltered alignments	hg19	ENCSR000APH	Histone ChIP-seq	CL:0000062	osteoblast	primary cell	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE		see document		2	2_1		36					/files/ENCFF807MUK/, /files/ENCFF000CVU/	2074970129	ENCODE Processing Pipeline	cc141439830c3127051949f83f2acfc3		https://www.encodeproject.org/files/ENCFF817FSB/@@download/ENCFF817FSB.bam				released	s3://encode-public/2017/04/04/bfbb36aa-ec04-449f-96e0-f2a17c0b5528/ENCFF817FSB.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth		
ENCFF944CNI	bam	bam		alignments	GRCh38	ENCSR000APH	Histone ChIP-seq	CL:0000062	osteoblast	primary cell	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE		see document		2	2_1		36					/files/ENCFF000CVU/, /files/ENCFF110MCL/	1501198347	ENCODE Processing Pipeline	2e2717d31147a9f0ab5a881be566479d		https://www.encodeproject.org/files/ENCFF944CNI/@@download/ENCFF944CNI.bam				released	s3://encode-public/2020/09/30/bf20d623-3fee-4f05-b7b2-54bbd5586fc8/ENCFF944CNI.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth		
ENCFF509IKG	bam	bam		unfiltered alignments	GRCh38	ENCSR000APH	Histone ChIP-seq	CL:0000062	osteoblast	primary cell	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE		see document		2	2_1		36					/files/ENCFF000CVU/, /files/ENCFF110MCL/	2035646470	ENCODE Processing Pipeline	d952875e4306bdfceaedb7faf5dfd6fe		https://www.encodeproject.org/files/ENCFF509IKG/@@download/ENCFF509IKG.bam				released	s3://encode-public/2020/09/30/b4e3c870-e476-4852-b5a5-8c044317b3a2/ENCFF509IKG.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth		
ENCFF595BPC	bam	bam		unfiltered alignments	GRCh38	ENCSR000APH	Histone ChIP-seq	CL:0000062	osteoblast	primary cell	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE		see document		1	1_1		36					/files/ENCFF000CVS/, /files/ENCFF110MCL/	1141995379	ENCODE Processing Pipeline	fef36ce88cc8debfa9ebf54e4beed924		https://www.encodeproject.org/files/ENCFF595BPC/@@download/ENCFF595BPC.bam				released	s3://encode-public/2020/09/30/dabdc1f4-ffa3-4678-9486-9a7302c4fa05/ENCFF595BPC.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth		
