File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF022FVS	fastq	fastq		reads		ENCSR220ASC	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens											DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	1	1_1	51		single-ended					2022679180	Tim Reddy, Duke	173ccbf65d340f9a5f49e3f7087ada99	SRA:SRR7140571	https://www.encodeproject.org/files/ENCFF022FVS/@@download/ENCFF022FVS.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/289c587c-9025-4048-86f2-5d0eca510b03/ENCFF022FVS.fastq.gz			
ENCFF793VAW	fastq	fastq		reads		ENCSR220ASC	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens											DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	2	2_1	51		single-ended					2247410359	Tim Reddy, Duke	322ef1b1edcbf854e02c914b5ab081c6	SRA:SRR7140572	https://www.encodeproject.org/files/ENCFF793VAW/@@download/ENCFF793VAW.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/fcd337b8-eb68-41dd-be1f-c188446aa240/ENCFF793VAW.fastq.gz			
ENCFF224EAV	fastq	fastq		reads		ENCSR220ASC	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens											DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	3	3_1	51		single-ended					2562556862	Tim Reddy, Duke	08a203d867a3360de92cf50d03837f20	SRA:SRR7140573	https://www.encodeproject.org/files/ENCFF224EAV/@@download/ENCFF224EAV.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/a5e6b7cd-be1e-474d-a5a2-1ca5388fea29/ENCFF224EAV.fastq.gz			
ENCFF834KFX	fastq	fastq		reads		ENCSR288YMH	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	4 hour								DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	3	3_1	51		single-ended					2595475193	Tim Reddy, Duke	fad3934af4c0a4995f447e2b4519a465	SRA:SRR7140578	https://www.encodeproject.org/files/ENCFF834KFX/@@download/ENCFF834KFX.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/14f1205b-5793-4a8d-b21b-10c4185d81c7/ENCFF834KFX.fastq.gz			
ENCFF420ZSO	fastq	fastq		reads		ENCSR288YMH	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	4 hour								DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	1	1_1	51		single-ended					2010229885	Tim Reddy, Duke	b1da3c71ba78ddd5526f05bb9c030127	SRA:SRR7140577	https://www.encodeproject.org/files/ENCFF420ZSO/@@download/ENCFF420ZSO.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/b3f26b9e-5e3b-4106-b03d-4585af980cca/ENCFF420ZSO.fastq.gz			
ENCFF358LJV	fastq	fastq		reads		ENCSR288YMH	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	4 hour								DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	2	2_1	51		single-ended					1995384607	Tim Reddy, Duke	3abc9a9c8277d85e85287396e94b91e9	SRA:SRR7140579	https://www.encodeproject.org/files/ENCFF358LJV/@@download/ENCFF358LJV.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/c51d7b66-0164-46e5-8d32-9db7324a25e7/ENCFF358LJV.fastq.gz			
ENCFF799HXV	fastq	fastq		reads		ENCSR074AHH	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	8 hour								DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	3	3_1	51		single-ended					1888602830	Tim Reddy, Duke	d4b723fbfb9e455206240c04383ae015	SRA:SRR7140564	https://www.encodeproject.org/files/ENCFF799HXV/@@download/ENCFF799HXV.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/1f08c2ac-21a7-4851-9afb-db28114bb41f/ENCFF799HXV.fastq.gz			
ENCFF744SXE	fastq	fastq		reads		ENCSR074AHH	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	8 hour								DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	2	2_1	51		single-ended					2328837981	Tim Reddy, Duke	7fce9205aa04242623a03ef4e1522e3c	SRA:SRR7140563	https://www.encodeproject.org/files/ENCFF744SXE/@@download/ENCFF744SXE.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/60f71ff2-2204-4f95-a527-2f10757fba57/ENCFF744SXE.fastq.gz			
ENCFF888HBH	fastq	fastq		reads		ENCSR074AHH	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	8 hour								DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	1	1_1	51		single-ended					2466960652	Tim Reddy, Duke	acb43eeec93d86a5c92a646219344b9f	SRA:SRR7140562	https://www.encodeproject.org/files/ENCFF888HBH/@@download/ENCFF888HBH.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/cf5895e3-7a84-42f7-aee6-9b0206d588c7/ENCFF888HBH.fastq.gz			
ENCFF124LBK	fastq	fastq		reads		ENCSR265ZXX	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	12 hour								DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	3	3_1	51		single-ended					1884648321	Tim Reddy, Duke	cde809aea0d79ca55b1718e74609f641	SRA:SRR7140575	https://www.encodeproject.org/files/ENCFF124LBK/@@download/ENCFF124LBK.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/4076ca33-8d07-4a23-b8af-a44c65d4999a/ENCFF124LBK.fastq.gz			
ENCFF115PAE	fastq	fastq		reads		ENCSR265ZXX	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	12 hour								DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	1	1_1	51		single-ended					2192555730	Tim Reddy, Duke	936dc29f4161b5349213c8612d261025	SRA:SRR7140574	https://www.encodeproject.org/files/ENCFF115PAE/@@download/ENCFF115PAE.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/63de45fe-c3b0-430b-b9d1-78514e8ae750/ENCFF115PAE.fastq.gz			
ENCFF610JYD	fastq	fastq		reads		ENCSR265ZXX	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	12 hour								DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	2	2_1	51		single-ended					2183902837	Tim Reddy, Duke	91b052fdf24f09a6ac7f6c7c0d3e956a	SRA:SRR7140576	https://www.encodeproject.org/files/ENCFF610JYD/@@download/ENCFF610JYD.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/18cefe45-bcb6-4c7d-99e9-0207dcd95810/ENCFF610JYD.fastq.gz			
ENCFF903DYC	fastq	fastq		reads		ENCSR729FNL	ATAC-seq	UBERON:0022353	posterior cingulate cortex	tissue	Homo sapiens											DNA			ATAC buffer			2017-10-09	ENCODE		chemical (Nextera tagmentation)		1	1_1	50		single-ended					1436790922	Barbara Wold, Caltech	493cae61c9ca5f3c64fbbcffd723e21e		https://www.encodeproject.org/files/ENCFF903DYC/@@download/ENCFF903DYC.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2015/11/30/b0bd2d3a-79bb-4d80-81d0-17061203292a/ENCFF903DYC.fastq.gz			
ENCFF330CLR	fastq	fastq		reads		ENCSR729FNL	ATAC-seq	UBERON:0022353	posterior cingulate cortex	tissue	Homo sapiens											DNA			ATAC buffer			2017-10-09	ENCODE		chemical (Nextera tagmentation)		1	1_1	50		single-ended					1404807955	Barbara Wold, Caltech	bca749709a0cba57e8f5c135dba34489		https://www.encodeproject.org/files/ENCFF330CLR/@@download/ENCFF330CLR.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2015/11/30/2d02359f-4f7a-41f2-9ee9-9be512bce712/ENCFF330CLR.fastq.gz			
ENCFF545DRH	fastq	fastq		reads		ENCSR139OYS	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	1 hour								DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	2	2_1	51		single-ended					2119156867	Tim Reddy, Duke	2d57e980790eb47313df58be4d5bf334	SRA:SRR7140565	https://www.encodeproject.org/files/ENCFF545DRH/@@download/ENCFF545DRH.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/6ac0e3a3-666a-4124-9321-27f1b59dc781/ENCFF545DRH.fastq.gz			
ENCFF463IRI	fastq	fastq		reads		ENCSR139OYS	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	1 hour								DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	1	1_1	51		single-ended					2195057721	Tim Reddy, Duke	1d89ab77bb61562e7e4419957edf36a0	SRA:SRR7140567	https://www.encodeproject.org/files/ENCFF463IRI/@@download/ENCFF463IRI.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/2d4867d9-dc2c-45dd-9844-b6c8b1eea8e7/ENCFF463IRI.fastq.gz			
ENCFF388LOY	fastq	fastq		reads		ENCSR139OYS	ATAC-seq	EFO:0001086	A549	cell line	Homo sapiens	dexamethasone	100 nM	1 hour								DNA			0.01% digitonin			2018-04-23	GGR		chemical (Nextera tagmentation)	>200	3	3_1	51		single-ended					1994643584	Tim Reddy, Duke	ec522b746836d3fb38b1da0888893b3c	SRA:SRR7140566	https://www.encodeproject.org/files/ENCFF388LOY/@@download/ENCFF388LOY.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2018/03/28/225158f6-c634-4780-b8df-ffbadf45a135/ENCFF388LOY.fastq.gz			
ENCFF741OMI	fastq	fastq		reads		ENCSR439TZT	ATAC-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_2	100		paired-ended	1	/files/ENCFF213RFK/			1930201342	Michael Snyder, Stanford	c0937e5cac8ebce31165872b34f85708		https://www.encodeproject.org/files/ENCFF741OMI/@@download/ENCFF741OMI.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/07/31/774b3431-a2b2-4adb-8290-e14613746abb/ENCFF741OMI.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF369GBC	fastq	fastq		reads		ENCSR439TZT	ATAC-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1	100		paired-ended	1	/files/ENCFF268BNM/			700800320	Michael Snyder, Stanford	74f9a83055d5035b4db7fb42ecdae27e		https://www.encodeproject.org/files/ENCFF369GBC/@@download/ENCFF369GBC.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/07/31/9f0b4095-7a97-4b9b-bc61-9f76fb7aae51/ENCFF369GBC.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF714BYD	fastq	fastq		reads		ENCSR439TZT	ATAC-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1	100		paired-ended	1	/files/ENCFF543OKH/			701903384	Michael Snyder, Stanford	6297aec82297e0cffa38057a936ef3db		https://www.encodeproject.org/files/ENCFF714BYD/@@download/ENCFF714BYD.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/07/31/aa70de25-2431-41e8-ad0d-9437261d26c8/ENCFF714BYD.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF651ZPX	fastq	fastq		reads		ENCSR439TZT	ATAC-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_2	100		paired-ended	1	/files/ENCFF999CSV/			1921642431	Michael Snyder, Stanford	f1ef4df110dd15ac3e19e65f05064ca0		https://www.encodeproject.org/files/ENCFF651ZPX/@@download/ENCFF651ZPX.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/07/31/ec890be1-33e7-485a-8b35-2cd0c8ee2a41/ENCFF651ZPX.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF961HFX	fastq	fastq		reads		ENCSR439TZT	ATAC-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_2	100		paired-ended	1	/files/ENCFF759GTN/			1920919821	Michael Snyder, Stanford	b24d74f04af9efb84966bfd712ffcc24		https://www.encodeproject.org/files/ENCFF961HFX/@@download/ENCFF961HFX.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/07/31/86594e37-468f-44c0-b76f-798d4817cdda/ENCFF961HFX.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF885TWT	fastq	fastq		reads		ENCSR439TZT	ATAC-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1	100		paired-ended	1	/files/ENCFF684ENW/			697388921	Michael Snyder, Stanford	462ec8c1bee1808656f7907b24b4aac4		https://www.encodeproject.org/files/ENCFF885TWT/@@download/ENCFF885TWT.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/07/31/36914354-5a82-4b26-b685-c036b98996ee/ENCFF885TWT.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF233DYJ	fastq	fastq		reads		ENCSR439TZT	ATAC-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1	100		paired-ended	1	/files/ENCFF920GKZ/			709179320	Michael Snyder, Stanford	ebdd86753ae81534559e4dac0993ba3b		https://www.encodeproject.org/files/ENCFF233DYJ/@@download/ENCFF233DYJ.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/07/31/95c415e5-b216-4082-afc5-1d5a827811b0/ENCFF233DYJ.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF404WCN	fastq	fastq		reads		ENCSR439TZT	ATAC-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_2	100		paired-ended	1	/files/ENCFF190QCO/			1941240276	Michael Snyder, Stanford	ed5171e1a5bf4557e9627e22b645cc6f		https://www.encodeproject.org/files/ENCFF404WCN/@@download/ENCFF404WCN.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/07/31/9e74f358-b2ec-4501-aa60-24ee70662d0f/ENCFF404WCN.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF268BNM	fastq	fastq		reads		ENCSR439TZT	ATAC-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1	100		paired-ended	2	/files/ENCFF369GBC/			731497073	Michael Snyder, Stanford	135a433a38807b4c1b03be119bd9080e		https://www.encodeproject.org/files/ENCFF268BNM/@@download/ENCFF268BNM.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/08/01/6215abcb-4c3b-40ea-9dc4-029a71213b24/ENCFF268BNM.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF684ENW	fastq	fastq		reads		ENCSR439TZT	ATAC-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1	100		paired-ended	2	/files/ENCFF885TWT/			727755172	Michael Snyder, Stanford	9b4843772d0529a3a2c07cae3f66426d		https://www.encodeproject.org/files/ENCFF684ENW/@@download/ENCFF684ENW.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/08/01/cdfb3386-98b2-47e7-85f7-18962f8b1a2e/ENCFF684ENW.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF543OKH	fastq	fastq		reads		ENCSR439TZT	ATAC-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1	100		paired-ended	2	/files/ENCFF714BYD/			732092744	Michael Snyder, Stanford	959b40edd569028362cdfc2dafc3b6b6		https://www.encodeproject.org/files/ENCFF543OKH/@@download/ENCFF543OKH.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/08/01/e191fe1b-1c2b-432b-a036-1e5248431b07/ENCFF543OKH.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF920GKZ	fastq	fastq		reads		ENCSR439TZT	ATAC-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1	100		paired-ended	2	/files/ENCFF233DYJ/			738994049	Michael Snyder, Stanford	0dcf3b96198009150ab6523b08d7d051		https://www.encodeproject.org/files/ENCFF920GKZ/@@download/ENCFF920GKZ.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/08/01/78d19b01-dc11-43f0-9654-036f44cfa8c8/ENCFF920GKZ.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF999CSV	fastq	fastq		reads		ENCSR439TZT	ATAC-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_2	100		paired-ended	2	/files/ENCFF651ZPX/			2015489621	Michael Snyder, Stanford	4e9cc3f17b81ab8f586a2868042fe298		https://www.encodeproject.org/files/ENCFF999CSV/@@download/ENCFF999CSV.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/08/01/96d248b8-7430-4a06-b2aa-7d4028ba70e9/ENCFF999CSV.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF213RFK	fastq	fastq		reads		ENCSR439TZT	ATAC-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_2	100		paired-ended	2	/files/ENCFF741OMI/			2024419847	Michael Snyder, Stanford	1db4b310ec5fe0c5e16eb1b4fdaa2080		https://www.encodeproject.org/files/ENCFF213RFK/@@download/ENCFF213RFK.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/08/01/a4e1b522-f0cd-4827-ae8f-77cce5d0cff1/ENCFF213RFK.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF759GTN	fastq	fastq		reads		ENCSR439TZT	ATAC-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_2	100		paired-ended	2	/files/ENCFF961HFX/			2015907989	Michael Snyder, Stanford	63f989f30411c399cfed19cdf45b5a84		https://www.encodeproject.org/files/ENCFF759GTN/@@download/ENCFF759GTN.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/08/01/f7353253-f846-4a8b-b7cd-5d4f0afaa185/ENCFF759GTN.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF190QCO	fastq	fastq		reads		ENCSR439TZT	ATAC-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens											DNA						2020-10-08	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_2	100		paired-ended	2	/files/ENCFF404WCN/			2036289280	Michael Snyder, Stanford	95b1cddc17a189b5ae55e4a554a8e49d		https://www.encodeproject.org/files/ENCFF190QCO/@@download/ENCFF190QCO.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/08/01/650c579e-ef6c-484b-86c2-6fbe8c2b07c7/ENCFF190QCO.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF171DIZ	fastq	fastq		reads		ENCSR553LAZ	ATAC-seq	UBERON:0002369	adrenal gland	tissue	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_2	100		paired-ended	1	/files/ENCFF991BFK/			2023825197	Michael Snyder, Stanford	9fdbe3a4ef5d77d8416f7177a334da25		https://www.encodeproject.org/files/ENCFF171DIZ/@@download/ENCFF171DIZ.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/07/31/3aaf82e1-9529-405f-be27-1fc3bbb07c1d/ENCFF171DIZ.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF609APV	fastq	fastq		reads		ENCSR553LAZ	ATAC-seq	UBERON:0002369	adrenal gland	tissue	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_2	100		paired-ended	1	/files/ENCFF592TUD/			2012752673	Michael Snyder, Stanford	acda0fa9cf8fad7a8ecab0332dd717b2		https://www.encodeproject.org/files/ENCFF609APV/@@download/ENCFF609APV.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/07/31/f273fa40-b87c-4cee-af09-22a45d154001/ENCFF609APV.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF097DWT	fastq	fastq		reads		ENCSR553LAZ	ATAC-seq	UBERON:0002369	adrenal gland	tissue	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1	100		paired-ended	1	/files/ENCFF501VCA/			2721212097	Michael Snyder, Stanford	105a0a91c042efb3517ce8db4b372af0		https://www.encodeproject.org/files/ENCFF097DWT/@@download/ENCFF097DWT.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/07/31/11b2aed2-27a1-4c31-8107-e1241cc93dff/ENCFF097DWT.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF308XOA	fastq	fastq		reads		ENCSR553LAZ	ATAC-seq	UBERON:0002369	adrenal gland	tissue	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_2	100		paired-ended	1	/files/ENCFF919OHK/			2059335675	Michael Snyder, Stanford	dcdd4b24ace2fdecc9bca28cf84a4b00		https://www.encodeproject.org/files/ENCFF308XOA/@@download/ENCFF308XOA.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/07/31/d495e529-a88d-42b2-9caa-6391438ad0e7/ENCFF308XOA.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF607BQL	fastq	fastq		reads		ENCSR553LAZ	ATAC-seq	UBERON:0002369	adrenal gland	tissue	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1	100		paired-ended	1	/files/ENCFF503QDF/			2746139209	Michael Snyder, Stanford	665e205cdf1587b973b45832fa3c72d4		https://www.encodeproject.org/files/ENCFF607BQL/@@download/ENCFF607BQL.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/07/31/06eeb81a-8593-4ab3-96ab-d5082de3c28a/ENCFF607BQL.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF088ONP	fastq	fastq		reads		ENCSR553LAZ	ATAC-seq	UBERON:0002369	adrenal gland	tissue	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1	100		paired-ended	1	/files/ENCFF011ANA/			2715956987	Michael Snyder, Stanford	e2c72c4d62b34642b0f5cd7fdac46966		https://www.encodeproject.org/files/ENCFF088ONP/@@download/ENCFF088ONP.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/07/31/441358d0-9a24-4ebe-982b-025195d865e5/ENCFF088ONP.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF238ZAZ	fastq	fastq		reads		ENCSR553LAZ	ATAC-seq	UBERON:0002369	adrenal gland	tissue	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_1	100		paired-ended	1	/files/ENCFF515KCZ/			2710128704	Michael Snyder, Stanford	685d37c091521d9ba3fd414fd779d1a5		https://www.encodeproject.org/files/ENCFF238ZAZ/@@download/ENCFF238ZAZ.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/07/31/49b3034d-bc05-48b1-94f0-21447be63497/ENCFF238ZAZ.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
ENCFF183RSV	fastq	fastq		reads		ENCSR553LAZ	ATAC-seq	UBERON:0002369	adrenal gland	tissue	Homo sapiens											DNA						2020-08-05	ENCODE		chemical (Tn5 transposase)	200-7000	1	1_2	100		paired-ended	1	/files/ENCFF252NNF/			2016801955	Michael Snyder, Stanford	41a440eb3831be394f264c3a64251659		https://www.encodeproject.org/files/ENCFF183RSV/@@download/ENCFF183RSV.fastq.gz		Illumina NovaSeq 6000		released	s3://encode-public/2019/07/31/ecf6538a-ca2f-4f47-8c01-ac997e735dd8/ENCFF183RSV.fastq.gz	mild to moderate bottlenecking, moderate library complexity		
