File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF463BBS	fastq	fastq		reads		ENCSR752EPH	DNase-seq	EFO:0001200	MCF 10A	cell line	Homo sapiens	tamoxifen	1.0 μM	24.0 hour								DNA						2018-01-29	ENCODE				1	1_2	36		single-ended					479374348	John Stamatoyannopoulos, UW	91ef9d3c2fdcf36e039a13c98b213607		https://www.encodeproject.org/files/ENCFF463BBS/@@download/ENCFF463BBS.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2017/11/15/3f683408-54d9-48e7-9617-6da18d502d1a/ENCFF463BBS.fastq.gz		unreplicated experiment	
ENCFF755MFM	fastq	fastq		reads		ENCSR752EPH	DNase-seq	EFO:0001200	MCF 10A	cell line	Homo sapiens	tamoxifen	1.0 μM	24.0 hour								DNA						2018-01-29	ENCODE				1	1_1	36		paired-ended	1	/files/ENCFF044HKE/			1125084210	John Stamatoyannopoulos, UW	e8d5b1e3b745a39bc19aaf535c705647		https://www.encodeproject.org/files/ENCFF755MFM/@@download/ENCFF755MFM.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2017/11/15/7cdeb777-3cdd-46ca-9185-28a8c244956f/ENCFF755MFM.fastq.gz		unreplicated experiment	
ENCFF387LLQ	fastq	fastq		reads		ENCSR752EPH	DNase-seq	EFO:0001200	MCF 10A	cell line	Homo sapiens	tamoxifen	1.0 μM	24.0 hour								DNA						2018-01-29	ENCODE				1	1_1	36		paired-ended	1	/files/ENCFF152EUT/			10652369969	John Stamatoyannopoulos, UW	8af8fff5925daad1907c0941432b0623		https://www.encodeproject.org/files/ENCFF387LLQ/@@download/ENCFF387LLQ.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2017/11/15/280d0235-5c64-414d-a815-77bd2a96ce39/ENCFF387LLQ.fastq.gz		unreplicated experiment	
ENCFF044HKE	fastq	fastq		reads		ENCSR752EPH	DNase-seq	EFO:0001200	MCF 10A	cell line	Homo sapiens	tamoxifen	1.0 μM	24.0 hour								DNA						2018-01-29	ENCODE				1	1_1	36		paired-ended	2	/files/ENCFF755MFM/			1144803819	John Stamatoyannopoulos, UW	21ed2b118889935decd9c9f351685750		https://www.encodeproject.org/files/ENCFF044HKE/@@download/ENCFF044HKE.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2017/11/15/a5158a95-d3d3-4fde-9e1b-b3f1807e9afc/ENCFF044HKE.fastq.gz		unreplicated experiment	
ENCFF152EUT	fastq	fastq		reads		ENCSR752EPH	DNase-seq	EFO:0001200	MCF 10A	cell line	Homo sapiens	tamoxifen	1.0 μM	24.0 hour								DNA						2018-01-29	ENCODE				1	1_1	36		paired-ended	2	/files/ENCFF387LLQ/			10856300848	John Stamatoyannopoulos, UW	ca79dd1b78a0bc26f2e376e18960c7b7		https://www.encodeproject.org/files/ENCFF152EUT/@@download/ENCFF152EUT.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2017/11/15/2d48dec5-9de7-46d5-a65b-0e14084a2a28/ENCFF152EUT.fastq.gz		unreplicated experiment	
ENCFF961ZVJ	fastq	fastq		reads		ENCSR752EPH	DNase-seq	EFO:0001200	MCF 10A	cell line	Homo sapiens	tamoxifen	1.0 μM	24.0 hour								DNA						2018-01-29	ENCODE				1	1_2	36		single-ended					928582539	John Stamatoyannopoulos, UW	b5d208b26906d7f1221d0a90a2b404f3		https://www.encodeproject.org/files/ENCFF961ZVJ/@@download/ENCFF961ZVJ.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2017/11/15/7815bab0-db5f-450c-9468-4c2643a6f3e8/ENCFF961ZVJ.fastq.gz		unreplicated experiment	
ENCFF461IGO	fastq	fastq		reads		ENCSR752EPH	DNase-seq	EFO:0001200	MCF 10A	cell line	Homo sapiens	tamoxifen	1.0 μM	24.0 hour								DNA						2018-01-29	ENCODE				1	1_2	36		single-ended					997794899	John Stamatoyannopoulos, UW	7ddd7506b747d52c8fa0c29dbfb976b7		https://www.encodeproject.org/files/ENCFF461IGO/@@download/ENCFF461IGO.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2017/11/15/61d65374-5ab5-4b05-9f19-1d00dfd3e886/ENCFF461IGO.fastq.gz		unreplicated experiment	
ENCFF667SWK	fastq	fastq		reads		ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens											DNA						2017-12-13	ENCODE				1	1_1	36		paired-ended	1	/files/ENCFF602VMH/			387169287	John Stamatoyannopoulos, UW	a493ea0ab749fba198a1572d4fc7c94d		https://www.encodeproject.org/files/ENCFF667SWK/@@download/ENCFF667SWK.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/09/01/d6d6dac4-6a38-4a33-b384-3676c24f5754/ENCFF667SWK.fastq.gz			
ENCFF602VMH	fastq	fastq		reads		ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens											DNA						2017-12-13	ENCODE				1	1_1	36		paired-ended	2	/files/ENCFF667SWK/			403947014	John Stamatoyannopoulos, UW	64e69e3028fd08848df8087068a70801		https://www.encodeproject.org/files/ENCFF602VMH/@@download/ENCFF602VMH.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/09/01/a02e374c-b36e-4232-b2c5-dfb38324e5d6/ENCFF602VMH.fastq.gz			
ENCFF545TKW	fastq	fastq		reads		ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens											DNA						2017-12-13	ENCODE				2	2_1	36		paired-ended	2	/files/ENCFF097SKE/			6413059756	John Stamatoyannopoulos, UW	41b65c257af17a01d0c5f7feaa9a6752		https://www.encodeproject.org/files/ENCFF545TKW/@@download/ENCFF545TKW.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/09/01/99da3d7d-3125-4d15-ab78-09a31f2149ac/ENCFF545TKW.fastq.gz			
ENCFF282WAV	fastq	fastq		reads		ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens											DNA						2017-12-13	ENCODE				1	1_1	36		paired-ended	2	/files/ENCFF099UXO/			3158981287	John Stamatoyannopoulos, UW	45ce597e9133654d0653d2033e1a9bdc		https://www.encodeproject.org/files/ENCFF282WAV/@@download/ENCFF282WAV.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2017/09/01/04ad9583-94e7-4974-ac2a-90cb64590369/ENCFF282WAV.fastq.gz			
