numerical_id	unique_id	treatment_id	File accession_Accessibility	File format	File type	File format type_Accessibility	Output type	File assembly	Experiment accession_Accessibility	Assay_Accessibility	Biosample term id_Accessibility	Biosample term name	Biosample type_Accessibility	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates_Accessibility	Biosample genetic modifications zygosity_Accessibility	Experiment target_Accessibility	Library made from_Accessibility	Library depleted in_Accessibility	Library extraction method_Accessibility	Library lysis method_Accessibility	Library crosslinking method_Accessibility	Library strand specific_Accessibility	Experiment date released_Accessibility	Project_Accessibility	RBNS protein concentration_Accessibility	Library fragmentation method_Accessibility	Library size range_Accessibility	Biological replicate(s)_Accessibility	Technical replicate(s)_Accessibility	Read length_Accessibility	Mapped read length_Accessibility	Run type_Accessibility	Paired end_Accessibility	Paired with_Accessibility	Index of_Accessibility	Derived from_Accessibility	Size_Accessibility	Lab	md5sum_Accessibility	dbxrefs_Accessibility	File download URL_Accessibility	Genome annotation	Platform_Accessibility	Controlled by_Accessibility	File Status_Accessibility	s3_uri_Accessibility	Audit WARNING_Accessibility	Audit NOT_COMPLIANT_Accessibility	Audit ERROR_Accessibility	Biosample summary_Accessibility	Biosample stage	Biosample age_Accessibility	File accession_H3K27ac	File format type_H3K27ac	Experiment accession_H3K27ac	Assay_H3K27ac	Biosample term id_H3K27ac	Biosample type_H3K27ac	Biosample genetic modifications site coordinates_H3K27ac	Biosample genetic modifications zygosity_H3K27ac	Experiment target_H3K27ac	Library made from_H3K27ac	Library depleted in_H3K27ac	Library extraction method_H3K27ac	Library lysis method_H3K27ac	Library crosslinking method_H3K27ac	Library strand specific_H3K27ac	Experiment date released_H3K27ac	Project_H3K27ac	RBNS protein concentration_H3K27ac	Library fragmentation method_H3K27ac	Library size range_H3K27ac	Biological replicate(s)_H3K27ac	Technical replicate(s)_H3K27ac	Read length_H3K27ac	Mapped read length_H3K27ac	Run type_H3K27ac	Paired end_H3K27ac	Paired with_H3K27ac	Index of_H3K27ac	Derived from_H3K27ac	Size_H3K27ac	md5sum_H3K27ac	dbxrefs_H3K27ac	File download URL_H3K27ac	Platform_H3K27ac	Controlled by_H3K27ac	File Status_H3K27ac	s3_uri_H3K27ac	Audit WARNING_H3K27ac	Audit NOT_COMPLIANT_H3K27ac	Audit ERROR_H3K27ac	Biosample summary_H3K27ac	Biosample age_H3K27ac	File accession_H3K27ac bam
ID_0	endodermal_cell_5_days_1_1_endodermal_cell_originated_from_HUES64_0.0_1_2	0.0_0.0_0.0	ENCFF532LIH	bam	bam	0.0	unfiltered alignments	GRCh38	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2017-12-13	ENCODE	0.0	0.0	0.0	1	1_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF496RSW/, /files/ENCFF282WAV/, /files/ENCFF602VMH/, /files/ENCFF099UXO/, /files/ENCFF667SWK/	9501058697	ENCODE Processing Pipeline	bbb3cf8fffe5ebf6375cad5872b403d5	0.0	https://www.encodeproject.org/files/ENCFF532LIH/@@download/ENCFF532LIH.bam	0.0	0.0	0.0	released	s3://encode-public/2017/11/28/1fc93128-f315-49e2-88fa-4cb97c56bde1/ENCFF532LIH.bam	0.0	0.0	0.0	endodermal_cell	embryonic	5 days	ENCFF013UEN	0.0	ENCSR200ETW	Histone ChIP-seq	CL:0000223	in vitro differentiated cells	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2013-07-31	Roadmap	0.0	0.0	0.0	1	1_2	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF643CGH/, /files/ENCFF622OAL/, /files/ENCFF878IZP/	1494327026	baecdb3f3a48bdd291bc6409ecc98416	0.0	https://www.encodeproject.org/files/ENCFF013UEN/@@download/ENCFF013UEN.bam	0.0	0.0	released	s3://encode-public/2016/12/19/b62eea88-0b72-4fd0-b4bd-a727600240e4/ENCFF013UEN.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth	0.0	0.0	endodermal_cell_originated_from_HUES64	0.0	ENCFF013UEN
ID_1	endodermal_cell_5_days_1_1_endodermal_cell_originated_from_HUES64_0.0_2_2	0.0_0.0_0.0	ENCFF532LIH	bam	bam	0.0	unfiltered alignments	GRCh38	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2017-12-13	ENCODE	0.0	0.0	0.0	1	1_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF496RSW/, /files/ENCFF282WAV/, /files/ENCFF602VMH/, /files/ENCFF099UXO/, /files/ENCFF667SWK/	9501058697	ENCODE Processing Pipeline	bbb3cf8fffe5ebf6375cad5872b403d5	0.0	https://www.encodeproject.org/files/ENCFF532LIH/@@download/ENCFF532LIH.bam	0.0	0.0	0.0	released	s3://encode-public/2017/11/28/1fc93128-f315-49e2-88fa-4cb97c56bde1/ENCFF532LIH.bam	0.0	0.0	0.0	endodermal_cell	embryonic	5 days	ENCFF345OQM	0.0	ENCSR200ETW	Histone ChIP-seq	CL:0000223	in vitro differentiated cells	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2013-07-31	Roadmap	0.0	0.0	0.0	2	2_2	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF441DST/, /files/ENCFF643CGH/, /files/ENCFF199QKQ/	1785417681	936c3946574f9b0786f45332065e5cfc	0.0	https://www.encodeproject.org/files/ENCFF345OQM/@@download/ENCFF345OQM.bam	0.0	0.0	released	s3://encode-public/2016/12/19/139eeb88-b878-4178-a251-c55cb35211bd/ENCFF345OQM.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth	0.0	0.0	endodermal_cell_originated_from_HUES64	0.0	ENCFF345OQM
ID_2	endodermal_cell_5_days_2_1_endodermal_cell_originated_from_HUES64_0.0_1_2	0.0_0.0_0.0	ENCFF173CJD	bam	bam	0.0	unfiltered alignments	GRCh38	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2017-12-13	ENCODE	0.0	0.0	0.0	2	2_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF496RSW/, /files/ENCFF296YPN/, /files/ENCFF545TKW/, /files/ENCFF754PQR/, /files/ENCFF097SKE/	16794765091	ENCODE Processing Pipeline	fca3b63f7e9461b88f04af2e4d9b3757	0.0	https://www.encodeproject.org/files/ENCFF173CJD/@@download/ENCFF173CJD.bam	0.0	0.0	0.0	released	s3://encode-public/2017/11/28/2e3d6616-cb9c-44c4-9f36-09fb8e51b7a8/ENCFF173CJD.bam	0.0	0.0	0.0	endodermal_cell	embryonic	5 days	ENCFF013UEN	0.0	ENCSR200ETW	Histone ChIP-seq	CL:0000223	in vitro differentiated cells	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2013-07-31	Roadmap	0.0	0.0	0.0	1	1_2	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF643CGH/, /files/ENCFF622OAL/, /files/ENCFF878IZP/	1494327026	baecdb3f3a48bdd291bc6409ecc98416	0.0	https://www.encodeproject.org/files/ENCFF013UEN/@@download/ENCFF013UEN.bam	0.0	0.0	released	s3://encode-public/2016/12/19/b62eea88-0b72-4fd0-b4bd-a727600240e4/ENCFF013UEN.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth	0.0	0.0	endodermal_cell_originated_from_HUES64	0.0	ENCFF013UEN
ID_3	endodermal_cell_5_days_2_1_endodermal_cell_originated_from_HUES64_0.0_2_2	0.0_0.0_0.0	ENCFF173CJD	bam	bam	0.0	unfiltered alignments	GRCh38	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2017-12-13	ENCODE	0.0	0.0	0.0	2	2_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF496RSW/, /files/ENCFF296YPN/, /files/ENCFF545TKW/, /files/ENCFF754PQR/, /files/ENCFF097SKE/	16794765091	ENCODE Processing Pipeline	fca3b63f7e9461b88f04af2e4d9b3757	0.0	https://www.encodeproject.org/files/ENCFF173CJD/@@download/ENCFF173CJD.bam	0.0	0.0	0.0	released	s3://encode-public/2017/11/28/2e3d6616-cb9c-44c4-9f36-09fb8e51b7a8/ENCFF173CJD.bam	0.0	0.0	0.0	endodermal_cell	embryonic	5 days	ENCFF345OQM	0.0	ENCSR200ETW	Histone ChIP-seq	CL:0000223	in vitro differentiated cells	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2013-07-31	Roadmap	0.0	0.0	0.0	2	2_2	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF441DST/, /files/ENCFF643CGH/, /files/ENCFF199QKQ/	1785417681	936c3946574f9b0786f45332065e5cfc	0.0	https://www.encodeproject.org/files/ENCFF345OQM/@@download/ENCFF345OQM.bam	0.0	0.0	released	s3://encode-public/2016/12/19/139eeb88-b878-4178-a251-c55cb35211bd/ENCFF345OQM.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth	0.0	0.0	endodermal_cell_originated_from_HUES64	0.0	ENCFF345OQM
ID_4	endodermal_cell_5_days_1_1_endodermal_cell_originated_from_HUES64_0.0_1_2	0.0_0.0_0.0	ENCFF106NQV	bam	bam	0.0	unfiltered alignments	hg19	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2017-12-13	ENCODE	0.0	0.0	0.0	1	1_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF549HLL/, /files/ENCFF282WAV/, /files/ENCFF602VMH/, /files/ENCFF099UXO/, /files/ENCFF667SWK/	9456933337	ENCODE Processing Pipeline	8fc26a88f7cbc224f3aaf0d2de667d01	0.0	https://www.encodeproject.org/files/ENCFF106NQV/@@download/ENCFF106NQV.bam	0.0	0.0	0.0	released	s3://encode-public/2017/12/05/0a9e4dc8-eae6-4822-8b9a-ef5624ab08cc/ENCFF106NQV.bam	0.0	0.0	0.0	endodermal_cell	embryonic	5 days	ENCFF861XCF	0.0	ENCSR200ETW	Histone ChIP-seq	CL:0000223	in vitro differentiated cells	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2013-07-31	Roadmap	0.0	0.0	0.0	1	1_2	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF807MUK/, /files/ENCFF622OAL/, /files/ENCFF878IZP/	1490147881	5dec745d9f93d2dc0afdb94229282e4c	0.0	https://www.encodeproject.org/files/ENCFF861XCF/@@download/ENCFF861XCF.bam	0.0	0.0	released	s3://encode-public/2016/12/19/0f70e3f6-0416-4753-bbad-a6e779c74ce9/ENCFF861XCF.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth	0.0	0.0	endodermal_cell_originated_from_HUES64	0.0	ENCFF861XCF
ID_5	endodermal_cell_5_days_1_1_endodermal_cell_originated_from_HUES64_0.0_2_2	0.0_0.0_0.0	ENCFF106NQV	bam	bam	0.0	unfiltered alignments	hg19	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2017-12-13	ENCODE	0.0	0.0	0.0	1	1_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF549HLL/, /files/ENCFF282WAV/, /files/ENCFF602VMH/, /files/ENCFF099UXO/, /files/ENCFF667SWK/	9456933337	ENCODE Processing Pipeline	8fc26a88f7cbc224f3aaf0d2de667d01	0.0	https://www.encodeproject.org/files/ENCFF106NQV/@@download/ENCFF106NQV.bam	0.0	0.0	0.0	released	s3://encode-public/2017/12/05/0a9e4dc8-eae6-4822-8b9a-ef5624ab08cc/ENCFF106NQV.bam	0.0	0.0	0.0	endodermal_cell	embryonic	5 days	ENCFF324EOW	0.0	ENCSR200ETW	Histone ChIP-seq	CL:0000223	in vitro differentiated cells	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2013-07-31	Roadmap	0.0	0.0	0.0	2	2_2	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF441DST/, /files/ENCFF807MUK/, /files/ENCFF199QKQ/	1776499589	2feeb4f272460cd621c28f06e3bfb3dc	0.0	https://www.encodeproject.org/files/ENCFF324EOW/@@download/ENCFF324EOW.bam	0.0	0.0	released	s3://encode-public/2016/12/19/8b69b944-7c1d-4b88-ade5-461535f3734e/ENCFF324EOW.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth	0.0	0.0	endodermal_cell_originated_from_HUES64	0.0	ENCFF324EOW
ID_6	endodermal_cell_5_days_2_1_endodermal_cell_originated_from_HUES64_0.0_1_2	0.0_0.0_0.0	ENCFF066OAF	bam	bam	0.0	unfiltered alignments	hg19	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2017-12-13	ENCODE	0.0	0.0	0.0	2	2_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF549HLL/, /files/ENCFF296YPN/, /files/ENCFF545TKW/, /files/ENCFF754PQR/, /files/ENCFF097SKE/	16730952638	ENCODE Processing Pipeline	c28e022e5dcf98cf4e756a9eedf174cd	0.0	https://www.encodeproject.org/files/ENCFF066OAF/@@download/ENCFF066OAF.bam	0.0	0.0	0.0	released	s3://encode-public/2017/12/05/64997bd8-1af3-4743-8ddf-bb4c9ad57960/ENCFF066OAF.bam	0.0	0.0	0.0	endodermal_cell	embryonic	5 days	ENCFF861XCF	0.0	ENCSR200ETW	Histone ChIP-seq	CL:0000223	in vitro differentiated cells	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2013-07-31	Roadmap	0.0	0.0	0.0	1	1_2	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF807MUK/, /files/ENCFF622OAL/, /files/ENCFF878IZP/	1490147881	5dec745d9f93d2dc0afdb94229282e4c	0.0	https://www.encodeproject.org/files/ENCFF861XCF/@@download/ENCFF861XCF.bam	0.0	0.0	released	s3://encode-public/2016/12/19/0f70e3f6-0416-4753-bbad-a6e779c74ce9/ENCFF861XCF.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth	0.0	0.0	endodermal_cell_originated_from_HUES64	0.0	ENCFF861XCF
ID_7	endodermal_cell_5_days_2_1_endodermal_cell_originated_from_HUES64_0.0_2_2	0.0_0.0_0.0	ENCFF066OAF	bam	bam	0.0	unfiltered alignments	hg19	ENCSR166KPV	DNase-seq	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2017-12-13	ENCODE	0.0	0.0	0.0	2	2_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF549HLL/, /files/ENCFF296YPN/, /files/ENCFF545TKW/, /files/ENCFF754PQR/, /files/ENCFF097SKE/	16730952638	ENCODE Processing Pipeline	c28e022e5dcf98cf4e756a9eedf174cd	0.0	https://www.encodeproject.org/files/ENCFF066OAF/@@download/ENCFF066OAF.bam	0.0	0.0	0.0	released	s3://encode-public/2017/12/05/64997bd8-1af3-4743-8ddf-bb4c9ad57960/ENCFF066OAF.bam	0.0	0.0	0.0	endodermal_cell	embryonic	5 days	ENCFF324EOW	0.0	ENCSR200ETW	Histone ChIP-seq	CL:0000223	in vitro differentiated cells	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2013-07-31	Roadmap	0.0	0.0	0.0	2	2_2	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF441DST/, /files/ENCFF807MUK/, /files/ENCFF199QKQ/	1776499589	2feeb4f272460cd621c28f06e3bfb3dc	0.0	https://www.encodeproject.org/files/ENCFF324EOW/@@download/ENCFF324EOW.bam	0.0	0.0	released	s3://encode-public/2016/12/19/8b69b944-7c1d-4b88-ade5-461535f3734e/ENCFF324EOW.bam	mild to moderate bottlenecking, moderate library complexity, low read length, low read depth	0.0	0.0	endodermal_cell_originated_from_HUES64	0.0	ENCFF324EOW
ID_8	H1_0.0_1_1_H1_0.0_1_1	0.0_0.0_0.0	ENCFF674MNA	bam	bam	0.0	unfiltered alignments	GRCh38	ENCSR000EMU	DNase-seq	EFO:0003042	H1	cell line	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2010-12-16	ENCODE	0.0	see document	0.0	1	1_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF001CVK/, /files/ENCFF496RSW/	1508027392	ENCODE Processing Pipeline	9f8e0c98ae840ab0ceb2673e7462db4d	0.0	https://www.encodeproject.org/files/ENCFF674MNA/@@download/ENCFF674MNA.bam	0.0	0.0	0.0	released	s3://encode-public/2016/10/23/b5a09cee-a678-4593-8ed5-4b1aaf0d0e9a/ENCFF674MNA.bam	low read depth, low spot score	0.0	0.0	H1	embryonic	0.0	ENCFF654RIP	0.0	ENCSR000ANP	Histone ChIP-seq	EFO:0003042	cell line	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2011-02-10	ENCODE	0.0	see document	0.0	1	1_1	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF000AWR/, /files/ENCFF643CGH/	1098909673	85e422f170cd0cc5e224506b6ab63536	0.0	https://www.encodeproject.org/files/ENCFF654RIP/@@download/ENCFF654RIP.bam	0.0	0.0	released	s3://encode-public/2016/11/13/25831774-6843-4c65-a038-c16aa04f2d87/ENCFF654RIP.bam	low read depth, low read length, inconsistent platforms	0.0	0.0	H1	0.0	ENCFF654RIP
ID_9	H1_0.0_1_1_H1_0.0_2_2	0.0_0.0_0.0	ENCFF674MNA	bam	bam	0.0	unfiltered alignments	GRCh38	ENCSR000EMU	DNase-seq	EFO:0003042	H1	cell line	Homo sapiens	0.0	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	DNA	0.0	0.0	0.0	0.0	0.0	2010-12-16	ENCODE	0.0	see document	0.0	1	1_1	0.0	0.0	single-ended	0.0	0.0	0.0	/files/ENCFF001CVK/, /files/ENCFF496RSW/	1508027392	ENCODE Processing Pipeline	9f8e0c98ae840ab0ceb2673e7462db4d	0.0	https://www.encodeproject.org/files/ENCFF674MNA/@@download/ENCFF674MNA.bam	0.0	0.0	0.0	released	s3://encode-public/2016/10/23/b5a09cee-a678-4593-8ed5-4b1aaf0d0e9a/ENCFF674MNA.bam	low read depth, low spot score	0.0	0.0	H1	embryonic	0.0	ENCFF864UIC	0.0	ENCSR000ANP	Histone ChIP-seq	EFO:0003042	cell line	0.0	0.0	H3K27ac-human	DNA	0.0	0.0	0.0	0.0	0.0	2011-02-10	ENCODE	0.0	see document	0.0	2	2_2	0.0	36.0	single-ended	0.0	0.0	0.0	/files/ENCFF643CGH/, /files/ENCFF000AWV/	912689557	c2af6fa409198ace819c2a9ab0603595	0.0	https://www.encodeproject.org/files/ENCFF864UIC/@@download/ENCFF864UIC.bam	0.0	0.0	released	s3://encode-public/2016/11/13/b51c1873-5dbf-498e-b375-f3ff36f1808e/ENCFF864UIC.bam	low read depth, low read length, inconsistent platforms	0.0	0.0	H1	0.0	ENCFF864UIC
