Assay_Accessibility	Assay_H3K27ac	Audit ERROR_Accessibility	Audit ERROR_H3K27ac	Audit INTERNAL_ACTION_Accessibility	Audit INTERNAL_ACTION_H3K27ac	Audit NOT_COMPLIANT_Accessibility	Audit NOT_COMPLIANT_H3K27ac	Audit WARNING_Accessibility	Audit WARNING_H3K27ac	Biological replicate(s)_Accessibility	Biological replicate(s)_H3K27ac	Biosample genetic modifications categories	Biosample genetic modifications gene targets	Biosample genetic modifications methods	Biosample genetic modifications site coordinates_Accessibility	Biosample genetic modifications site coordinates_H3K27ac	Biosample genetic modifications targets	Biosample genetic modifications zygosity_Accessibility	Biosample genetic modifications zygosity_H3K27ac	Biosample organism	Biosample term id_Accessibility	Biosample term id_H3K27ac	Biosample term name	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample type_Accessibility	Biosample type_H3K27ac	Controlled by_Accessibility	Controlled by_H3K27ac	Derived from_Accessibility	Derived from_H3K27ac	Experiment accession_Accessibility	Experiment accession_H3K27ac	Experiment date released_Accessibility	Experiment date released_H3K27ac	Experiment target_Accessibility	Experiment target_H3K27ac	File Status_Accessibility	File Status_H3K27ac	File accession_Accessibility	File accession_H3K27ac	File assembly	File download URL_Accessibility	File download URL_H3K27ac	File format	File format type_Accessibility	File format type_H3K27ac	File type	Genome annotation	Lab	Library crosslinking method_Accessibility	Library crosslinking method_H3K27ac	Library depleted in_Accessibility	Library depleted in_H3K27ac	Library extraction method_Accessibility	Library extraction method_H3K27ac	Library fragmentation method_Accessibility	Library fragmentation method_H3K27ac	Library lysis method_Accessibility	Library lysis method_H3K27ac	Library made from_Accessibility	Library made from_H3K27ac	Library size range_Accessibility	Library size range_H3K27ac	Library strand specific_Accessibility	Library strand specific_H3K27ac	Mapped read length_Accessibility	Mapped read length_H3K27ac	Output type	Paired end_Accessibility	Paired end_H3K27ac	Paired with_Accessibility	Paired with_H3K27ac	Platform_Accessibility	Platform_H3K27ac	Project_Accessibility	Project_H3K27ac	RBNS protein concentration_Accessibility	RBNS protein concentration_H3K27ac	Read length_Accessibility	Read length_H3K27ac	Run type_Accessibility	Run type_H3K27ac	Size_Accessibility	Size_H3K27ac	Technical replicate(s)_Accessibility	Technical replicate(s)_H3K27ac	dbxrefs_Accessibility	dbxrefs_H3K27ac	md5sum_Accessibility	md5sum_H3K27ac	s3_uri_Accessibility	s3_uri_H3K27ac	File accession_H3K27ac bam
DNase-seq DNase-seq	ChIP-seq ChIP-seq	0.0	extremely low read depth	0.0	0.0	0.0	insufficient read depth	low spot score, mixed read lengths	moderate library complexity, control low read depth, mild to moderate bottlenecking, inconsistent platforms, low read length	1	2	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	EFO:0002067	EFO:0002067	K562	0.0	0.0	0.0	cell line	cell line	0.0	0.0	ENCFF000SWB, ENCFF549HLL	ENCFF000BXG, ENCFF807MUK	ENCSR000EKQ	ENCSR000AKP	2012-08-28	2011-02-10	0.0	H3K27ac-human	released	released	ENCFF179GFN	ENCFF992MUX	hg19	https://www.encodeproject.org/files/ENCFF179GFN/@@download/ENCFF179GFN.bam	https://www.encodeproject.org/files/ENCFF992MUX/@@download/ENCFF992MUX.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	7801536361	624072290	1_1	2_1	0.0	0.0	6955ec7df860155f68f8ee18e438e406	ab7948c603fb30ece69d2b75df4b72df	s3://encode-public/2017/10/06/0fdd55c3-bc22-4bce-bd5a-59b2a92bbeca/ENCFF179GFN.bam	s3://encode-public/2017/04/04/4b954bab-e58d-496f-b99c-bbb86aa9e4b2/ENCFF992MUX.bam	ENCFF992MUX
DNase-seq DNase-seq	ChIP-seq ChIP-seq	0.0	extremely low read depth	0.0	0.0	0.0	insufficient read depth	low spot score, mixed read lengths	moderate library complexity, control low read depth, mild to moderate bottlenecking, inconsistent platforms, low read length	1	1	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	EFO:0002067	EFO:0002067	K562	0.0	0.0	0.0	cell line	cell line	0.0	0.0	ENCFF000SWB, ENCFF549HLL	ENCFF000BXH, ENCFF807MUK	ENCSR000EKQ	ENCSR000AKP	2012-08-28	2011-02-10	0.0	H3K27ac-human	released	released	ENCFF179GFN	ENCFF870ZYG	hg19	https://www.encodeproject.org/files/ENCFF179GFN/@@download/ENCFF179GFN.bam	https://www.encodeproject.org/files/ENCFF870ZYG/@@download/ENCFF870ZYG.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	7801536361	1007947497	1_1	1_1	0.0	0.0	6955ec7df860155f68f8ee18e438e406	ddce80d77bcc08b7ea987f559cd43e68	s3://encode-public/2017/10/06/0fdd55c3-bc22-4bce-bd5a-59b2a92bbeca/ENCFF179GFN.bam	s3://encode-public/2017/04/04/b8ce46b6-279d-4969-983f-330456d52184/ENCFF870ZYG.bam	ENCFF870ZYG
DNase-seq DNase-seq	ChIP-seq ChIP-seq	0.0	extremely low read depth	0.0	0.0	0.0	insufficient read depth	low spot score, mixed read lengths	moderate library complexity, control low read depth, mild to moderate bottlenecking, inconsistent platforms, low read length	1	2	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	EFO:0002067	EFO:0002067	K562	0.0	0.0	0.0	cell line	cell line	0.0	0.0	ENCFF000SWA, ENCFF549HLL	ENCFF000BXG, ENCFF807MUK	ENCSR000EKQ	ENCSR000AKP	2012-08-28	2011-02-10	0.0	H3K27ac-human	released	released	ENCFF159RED	ENCFF992MUX	hg19	https://www.encodeproject.org/files/ENCFF159RED/@@download/ENCFF159RED.bam	https://www.encodeproject.org/files/ENCFF992MUX/@@download/ENCFF992MUX.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	8219869382	624072290	1_2	2_1	0.0	0.0	ff837635e25f7058357e6ba993dcc0f5	ab7948c603fb30ece69d2b75df4b72df	s3://encode-public/2017/10/06/ff3d1f27-d8bb-4c84-9f1e-aedef30c041a/ENCFF159RED.bam	s3://encode-public/2017/04/04/4b954bab-e58d-496f-b99c-bbb86aa9e4b2/ENCFF992MUX.bam	ENCFF992MUX
DNase-seq DNase-seq	ChIP-seq ChIP-seq	0.0	extremely low read depth	0.0	0.0	0.0	insufficient read depth	low spot score, mixed read lengths	moderate library complexity, control low read depth, mild to moderate bottlenecking, inconsistent platforms, low read length	1	1	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	EFO:0002067	EFO:0002067	K562	0.0	0.0	0.0	cell line	cell line	0.0	0.0	ENCFF000SWA, ENCFF549HLL	ENCFF000BXH, ENCFF807MUK	ENCSR000EKQ	ENCSR000AKP	2012-08-28	2011-02-10	0.0	H3K27ac-human	released	released	ENCFF159RED	ENCFF870ZYG	hg19	https://www.encodeproject.org/files/ENCFF159RED/@@download/ENCFF159RED.bam	https://www.encodeproject.org/files/ENCFF870ZYG/@@download/ENCFF870ZYG.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	8219869382	1007947497	1_2	1_1	0.0	0.0	ff837635e25f7058357e6ba993dcc0f5	ddce80d77bcc08b7ea987f559cd43e68	s3://encode-public/2017/10/06/ff3d1f27-d8bb-4c84-9f1e-aedef30c041a/ENCFF159RED.bam	s3://encode-public/2017/04/04/b8ce46b6-279d-4969-983f-330456d52184/ENCFF870ZYG.bam	ENCFF870ZYG
DNase-seq DNase-seq	ChIP-seq ChIP-seq	0.0	extremely low read depth	0.0	0.0	0.0	insufficient read depth	low spot score, mixed read lengths	moderate library complexity, control low read depth, mild to moderate bottlenecking, inconsistent platforms, low read length	1	2	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	EFO:0002067	EFO:0002067	K562	0.0	0.0	0.0	cell line	cell line	0.0	0.0	ENCFF000SWD, ENCFF549HLL	ENCFF000BXG, ENCFF807MUK	ENCSR000EKQ	ENCSR000AKP	2012-08-28	2011-02-10	0.0	H3K27ac-human	released	released	ENCFF779QXC	ENCFF992MUX	hg19	https://www.encodeproject.org/files/ENCFF779QXC/@@download/ENCFF779QXC.bam	https://www.encodeproject.org/files/ENCFF992MUX/@@download/ENCFF992MUX.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	7761369137	624072290	1_3	2_1	0.0	0.0	2a6cbebe058817b5e96e59e21d76b94d	ab7948c603fb30ece69d2b75df4b72df	s3://encode-public/2017/10/06/ff01c459-2388-4bdd-b3c2-a689e7facedc/ENCFF779QXC.bam	s3://encode-public/2017/04/04/4b954bab-e58d-496f-b99c-bbb86aa9e4b2/ENCFF992MUX.bam	ENCFF992MUX
DNase-seq DNase-seq	ChIP-seq ChIP-seq	0.0	extremely low read depth	0.0	0.0	0.0	insufficient read depth	low spot score, mixed read lengths	moderate library complexity, control low read depth, mild to moderate bottlenecking, inconsistent platforms, low read length	1	1	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	EFO:0002067	EFO:0002067	K562	0.0	0.0	0.0	cell line	cell line	0.0	0.0	ENCFF000SWD, ENCFF549HLL	ENCFF000BXH, ENCFF807MUK	ENCSR000EKQ	ENCSR000AKP	2012-08-28	2011-02-10	0.0	H3K27ac-human	released	released	ENCFF779QXC	ENCFF870ZYG	hg19	https://www.encodeproject.org/files/ENCFF779QXC/@@download/ENCFF779QXC.bam	https://www.encodeproject.org/files/ENCFF870ZYG/@@download/ENCFF870ZYG.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	7761369137	1007947497	1_3	1_1	0.0	0.0	2a6cbebe058817b5e96e59e21d76b94d	ddce80d77bcc08b7ea987f559cd43e68	s3://encode-public/2017/10/06/ff01c459-2388-4bdd-b3c2-a689e7facedc/ENCFF779QXC.bam	s3://encode-public/2017/04/04/b8ce46b6-279d-4969-983f-330456d52184/ENCFF870ZYG.bam	ENCFF870ZYG
DNase-seq DNase-seq	ChIP-seq ChIP-seq	0.0	0.0	experiment not submitted to GEO	0.0	0.0	0.0	low spot score	mild to moderate bottlenecking	1	1	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	UBERON:0007610	UBERON:0007610	tibial artery	0.0	0.0	0.0	tissue	tissue	0.0	0.0	ENCFF234JON, ENCFF375DAE, ENCFF452SYM, ENCFF530SOD, ENCFF549HLL, ENCFF591BAX, ENCFF741TTG	ENCFF482NDH, ENCFF489IJG, ENCFF807MUK	ENCSR080ISA	ENCSR535GFO	2017-10-01	2018-12-11	0.0	H3K27ac-human	released	released	ENCFF500UBP	ENCFF694FVD	hg19	https://www.encodeproject.org/files/ENCFF500UBP/@@download/ENCFF500UBP.bam	https://www.encodeproject.org/files/ENCFF694FVD/@@download/ENCFF694FVD.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	76.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	7168761392	1483929615	1_1	1_1	0.0	0.0	8b51e53a3458b1219f4cc845b8e39aa6	a37b754925aa69dc63abdf6a4308bf10	s3://encode-public/2017/09/13/9dbc5da5-f28f-40d8-9e15-1d2b64388549/ENCFF500UBP.bam	s3://encode-public/2018/06/13/d4ccabd5-d772-4429-a955-3678aad17c88/ENCFF694FVD.bam	ENCFF694FVD
DNase-seq DNase-seq	ChIP-seq ChIP-seq	0.0	0.0	experiment not submitted to GEO	0.0	0.0	0.0	low spot score	mild to moderate bottlenecking	1	2	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	UBERON:0007610	UBERON:0007610	tibial artery	0.0	0.0	0.0	tissue	tissue	0.0	0.0	ENCFF234JON, ENCFF375DAE, ENCFF452SYM, ENCFF530SOD, ENCFF549HLL, ENCFF591BAX, ENCFF741TTG	ENCFF068FUW, ENCFF147IPQ, ENCFF807MUK	ENCSR080ISA	ENCSR535GFO	2017-10-01	2018-12-11	0.0	H3K27ac-human	released	released	ENCFF500UBP	ENCFF719WGZ	hg19	https://www.encodeproject.org/files/ENCFF500UBP/@@download/ENCFF500UBP.bam	https://www.encodeproject.org/files/ENCFF719WGZ/@@download/ENCFF719WGZ.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	76.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	7168761392	4406888009	1_1	2_1	0.0	0.0	8b51e53a3458b1219f4cc845b8e39aa6	76dcb0d8b3f90fa53d51f87552008fe2	s3://encode-public/2017/09/13/9dbc5da5-f28f-40d8-9e15-1d2b64388549/ENCFF500UBP.bam	s3://encode-public/2018/06/13/4ed5eede-6475-4523-bcaf-92a65cc1f727/ENCFF719WGZ.bam	ENCFF719WGZ
DNase-seq DNase-seq	ChIP-seq ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	low spot score	0.0	1	1	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	UBERON:0006631	UBERON:0006631	right atrium auricular region	0.0	0.0	0.0	tissue	tissue	0.0	0.0	ENCFF053VZG, ENCFF079GRE, ENCFF228WQY, ENCFF544GTL, ENCFF549HLL	ENCFF512TUH, ENCFF559UXT, ENCFF580EXF, ENCFF807MUK, ENCFF968SEM	ENCSR278SKG	ENCSR668EVA	2017-10-01	2019-09-11	0.0	H3K27ac-human	released	released	ENCFF939WIN	ENCFF920WGT	hg19	https://www.encodeproject.org/files/ENCFF939WIN/@@download/ENCFF939WIN.bam	https://www.encodeproject.org/files/ENCFF920WGT/@@download/ENCFF920WGT.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	76.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	11224903333	1837361268	1_1	1_1	0.0	0.0	16eff218d034edafef74f69235e03856	6258991399f1b463ac97c047c319e950	s3://encode-public/2017/09/19/72082771-4f15-44af-8295-60aca9549404/ENCFF939WIN.bam	s3://encode-public/2019/06/12/fcad8e48-83d7-4509-a08d-3f1da49b4b83/ENCFF920WGT.bam	ENCFF920WGT
DNase-seq DNase-seq	ChIP-seq ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	low spot score	0.0	1	2	0.0	0.0	nan	0.0	0.0	0.0	0.0	0.0	Homo sapiens	UBERON:0006631	UBERON:0006631	right atrium auricular region	0.0	0.0	0.0	tissue	tissue	0.0	0.0	ENCFF053VZG, ENCFF079GRE, ENCFF228WQY, ENCFF544GTL, ENCFF549HLL	ENCFF205SMX, ENCFF326GSU, ENCFF466WHK, ENCFF661NBM, ENCFF807MUK	ENCSR278SKG	ENCSR668EVA	2017-10-01	2019-09-11	0.0	H3K27ac-human	released	released	ENCFF939WIN	ENCFF532LHQ	hg19	https://www.encodeproject.org/files/ENCFF939WIN/@@download/ENCFF939WIN.bam	https://www.encodeproject.org/files/ENCFF532LHQ/@@download/ENCFF532LHQ.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	0.0	76.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	11224903333	2206388579	1_1	2_1	0.0	0.0	16eff218d034edafef74f69235e03856	a34dff1f69f0bbcbebdf7f84f3d54430	s3://encode-public/2017/09/19/72082771-4f15-44af-8295-60aca9549404/ENCFF939WIN.bam	s3://encode-public/2019/06/12/4eb6fe99-16bc-41c3-b320-0b7c91abfe08/ENCFF532LHQ.bam	ENCFF532LHQ
