stomach_female_fetal_96-98_days	ENCFF148JEQ.bam	ENCFF386QCT.bam
neural_progenitor_cell_derived_from_H9	ENCFF607OCD.bam	ENCFF564EPQ.bam
MCF7	ENCFF502OCP.bam	ENCFF855RCK.bam
H1	ENCFF923SKV.bam	ENCFF948TVI.bam
natural_killer_cell_male_adult_37_years	ENCFF068IAM.bam	ENCFF593IAM.bam
foreskin_fibroblast_male_newborn	ENCFF193MMR.bam	ENCFF277NDF.bam
osteoblast	ENCFF933ZOD.bam	ENCFF535AIK.bam
T-cell_male_adult_37_years	ENCFF070VVE.bam	ENCFF470HNQ.bam
myotube	ENCFF535CKI.bam	ENCFF455ITO.bam
neuronal_stem_cell	ENCFF991GGR.bam	ENCFF303LNR.bam
right_atrium_auricular_region_female_adult	ENCFF513LVE.bam	ENCFF850MQA.bam
testis_male_adult	ENCFF066TTB.bam	ENCFF530VND.bam
iPSDF19.11	ENCFF052FAL.bam	ENCFF637QJT.bam
esophagus_squamous_epithelium_male_adult	ENCFF542ZZY.bam	ENCFF347NVE.bam
trophoblast_cell_male_embryo	ENCFF391ZRU.bam	ENCFF794OWI.bam
HCT116	ENCFF291HHS.bam	ENCFF364PAM.bam
neural_progenitor	ENCFF607OCD.bam	ENCFF508UMT.bam
adrenal_gland_male_fetal_96-97_days	ENCFF349QPC.bam	ENCFF639QXV.bam
common_myeloid_progenitor_CD34+_female	ENCFF134NUT.bam	ENCFF374OLB.bam
left_lung	ENCFF022PJN.bam	ENCFF152QOQ.bam
OCILY7	ENCFF906KZN.bam	ENCFF549QTQ.bam
H9	ENCFF854QWS.bam	ENCFF775ONB.bam
stomach_male_adult_34_years	ENCFF512AWR.bam	ENCFF107IFK.bam
muscle_of_leg_female_fetal_110-113_days	ENCFF032YRW.bam	ENCFF715SUA.bam
HeLaS3	ENCFF867ALU.bam	ENCFF093KYN.bam
small_intestine_male_fetal_108_days	ENCFF796LQN.bam	ENCFF618QIM.bam
muscle_of_trunk_female_fetal_113-115_days	ENCFF863QYT.bam	ENCFF994MOQ.bam
adrenal_gland	ENCFF970LXV.bam	ENCFF070MRW.bam
coronary_artery	ENCFF920WJT.bam	ENCFF226TTG.bam
vagina	ENCFF243NYB.bam	ENCFF542EXN.bam
esophagus_squamous_epithelium	ENCFF542ZZY.bam	ENCFF562NOM.bam
Peyers_patch_male_adult	ENCFF474HAC.bam	ENCFF739WLH.bam
Hepatocyte	ENCFF130KHK.bam	ENCFF998QZR.bam
placenta_female_fetal_108-113_days	ENCFF412UIS.bam	ENCFF191ITJ.bam
induced_pluripotent_stem_cell_male_adult_53_years_derived_from_fibroblast_of_arm	ENCFF379QDB.bam	ENCFF037SCG.bam
TrColon	ENCFF629OKO.bam	ENCFF399RUK.bam
PC9	ENCFF589MGU.bam	ENCFF824HIQ.bam
stomach_male_adult	ENCFF184XKI.bam	ENCFF710FQT.bam
thymus_female_fetal_110-113_days	ENCFF719KCS.bam	ENCFF809UKI.bam
AG04450	ENCFF172LZS.bam	ENCFF047GDD.bam
Panc1	ENCFF556JGQ.bam	ENCFF125NMY.bam
SKNMC	ENCFF440KYQ.bam	ENCFF814JSE.bam
large_intestine_male_fetal_108_days	ENCFF583XPL.bam	ENCFF805JFJ.bam
GM12878	ENCFF775ZJX.bam	ENCFF882PRP.bam
ovary_female_adult_30_years	ENCFF137NDD.bam	ENCFF052RXC.bam
astrocyte	ENCFF540LTJ.bam	ENCFF100JEN.bam
B_cell_adult	ENCFF203BEH.bam	ENCFF895XUG.bam
bipolar_spindle_neuron_derived_from_induced_pluripotent_stem_cell	ENCFF582CHJ.bam	ENCFF492XPT.bam
foreskin_keratinocyte_male_newborn	ENCFF527YHK.bam	ENCFF029MWK.bam
foreskin_melanocyte_male_newborn	ENCFF453VLJ.bam	ENCFF753SCK.bam
RWPE1	ENCFF688CCE.bam	ENCFF087MEP.bam
IMR90	ENCFF869SQU.bam	ENCFF843EAG.bam
pancreas_male_adult	ENCFF493ONN.bam	ENCFF025PCK.bam
RAA	ENCFF513LVE.bam	ENCFF164FND.bam
CD14+_monocytes_from_male_peripheral_blood	ENCFF418HYD.bam	ENCFF452ZIB.bam
GM23248	ENCFF523JNF.bam	ENCFF345SWP.bam
stomach	ENCFF184XKI.bam	ENCFF164FND.bam
heart_left_ventricle	ENCFF702IJE.bam	ENCFF995OXQ.bam
sigmoid_colon_female_adult	ENCFF387OFS.bam	ENCFF860KII.bam
transverse_colon_female_adult	ENCFF629OKO.bam	ENCFF485QGB.bam
Karpas422	ENCFF409IVR.bam	ENCFF119ZDZ.bam
keratinocyte_female	ENCFF691SIL.bam	ENCFF986JEU.bam
HepG2	ENCFF604OIM.bam	ENCFF638JUP.bam
esophagus_muscularis_mucosa_male_adult	ENCFF208ILP.bam	ENCFF717VXE.bam
fibroblast_of_dermis	ENCFF625NFJ.bam	ENCFF688WGV.bam
tibial_nerve_female_adult	ENCFF372VAD.bam	ENCFF899KZV.bam
bipolar_neuron	ENCFF582CHJ.bam	ENCFF492XPT.bam
mammary_epithelial_cell_female	ENCFF603EHL.bam	ENCFF674SDM.bam
iPSDF6.9	ENCFF770EET.bam	ENCFF623AQQ.bam
upper_lobe_of_left_lung_male_adult	ENCFF022PJN.bam	ENCFF623HXA.bam
