celltype	feature	file
stomach_female_fetal_96-98_days	DHS	ENCFF148JEQ.bam
stomach_female_fetal_96-98_days	H3K27ac	ENCFF386QCT.bam
neural_progenitor_cell_derived_from_H9	DHS	ENCFF607OCD.bam
neural_progenitor_cell_derived_from_H9	H3K27ac	ENCFF564EPQ.bam
MCF7	DHS	ENCFF502OCP.bam
MCF7	H3K27ac	ENCFF855RCK.bam
H1	DHS	ENCFF923SKV.bam
H1	H3K27ac	ENCFF948TVI.bam
natural_killer_cell_male_adult_37_years	DHS	ENCFF068IAM.bam
natural_killer_cell_male_adult_37_years	H3K27ac	ENCFF593IAM.bam
foreskin_fibroblast_male_newborn	H3K27ac	ENCFF277NDF.bam
foreskin_fibroblast_male_newborn	DHS	ENCFF193MMR.bam
osteoblast	DHS	ENCFF933ZOD.bam
osteoblast	H3K27ac	ENCFF535AIK.bam
T-cell_male_adult_37_years	DHS	ENCFF070VVE.bam
T-cell_male_adult_37_years	H3K27ac	ENCFF470HNQ.bam
myotube	DHS	ENCFF535CKI.bam
myotube	H3K27ac	ENCFF455ITO.bam
neuronal_stem_cell	DHS	ENCFF991GGR.bam
neuronal_stem_cell	H3K27ac	ENCFF303LNR.bam
right_atrium_auricular_region_female_adult	H3K27ac	ENCFF850MQA.bam
right_atrium_auricular_region_female_adult	DHS	ENCFF513LVE.bam
testis_male_adult	DHS	ENCFF066TTB.bam
testis_male_adult	H3K27ac	ENCFF530VND.bam
iPSDF19.11	H3K27ac	ENCFF637QJT.bam
iPSDF19.11	DHS	ENCFF052FAL.bam
esophagus_squamous_epithelium_male_adult	DHS	ENCFF542ZZY.bam
esophagus_squamous_epithelium_male_adult	H3K27ac	ENCFF347NVE.bam
trophoblast_cell_male_embryo	DHS	ENCFF391ZRU.bam
trophoblast_cell_male_embryo	H3K27ac	ENCFF794OWI.bam
HCT116	H3K27ac	ENCFF364PAM.bam
HCT116	DHS	ENCFF291HHS.bam
neural_progenitor	DHS	ENCFF607OCD.bam
neural_progenitor	H3K27ac	ENCFF508UMT.bam
adrenal_gland_male_fetal_96-97_days	DHS	ENCFF349QPC.bam
adrenal_gland_male_fetal_96-97_days	H3K27ac	ENCFF639QXV.bam
common_myeloid_progenitor_CD34+_female	DHS	ENCFF134NUT.bam
common_myeloid_progenitor_CD34+_female	H3K27ac	ENCFF374OLB.bam
left_lung	DHS	ENCFF022PJN.bam
left_lung	H3K27ac	ENCFF152QOQ.bam
OCILY7	H3K27ac	ENCFF549QTQ.bam
OCILY7	DHS	ENCFF906KZN.bam
H9	DHS	ENCFF854QWS.bam
H9	H3K27ac	ENCFF775ONB.bam
stomach_male_adult_34_years	DHS	ENCFF512AWR.bam
stomach_male_adult_34_years	H3K27ac	ENCFF107IFK.bam
muscle_of_leg_female_fetal_110-113_days	H3K27ac	ENCFF715SUA.bam
muscle_of_leg_female_fetal_110-113_days	DHS	ENCFF032YRW.bam
HeLaS3	DHS	ENCFF867ALU.bam
HeLaS3	H3K27ac	ENCFF093KYN.bam
small_intestine_male_fetal_108_days	H3K27ac	ENCFF618QIM.bam
small_intestine_male_fetal_108_days	DHS	ENCFF796LQN.bam
muscle_of_trunk_female_fetal_113-115_days	H3K27ac	ENCFF994MOQ.bam
muscle_of_trunk_female_fetal_113-115_days	DHS	ENCFF863QYT.bam
adrenal_gland	DHS	ENCFF970LXV.bam
adrenal_gland	H3K27ac	ENCFF070MRW.bam
coronary_artery	H3K27ac	ENCFF226TTG.bam
coronary_artery	DHS	ENCFF920WJT.bam
vagina	H3K27ac	ENCFF542EXN.bam
vagina	DHS	ENCFF243NYB.bam
esophagus_squamous_epithelium	H3K27ac	ENCFF562NOM.bam
esophagus_squamous_epithelium	DHS	ENCFF542ZZY.bam
Peyers_patch_male_adult	DHS	ENCFF474HAC.bam
Peyers_patch_male_adult	H3K27ac	ENCFF739WLH.bam
Hepatocyte	DHS	ENCFF130KHK.bam
Hepatocyte	H3K27ac	ENCFF998QZR.bam
placenta_female_fetal_108-113_days	DHS	ENCFF412UIS.bam
placenta_female_fetal_108-113_days	H3K27ac	ENCFF191ITJ.bam
induced_pluripotent_stem_cell_male_adult_53_years_derived_from_fibroblast_of_arm	DHS	ENCFF379QDB.bam
induced_pluripotent_stem_cell_male_adult_53_years_derived_from_fibroblast_of_arm	H3K27ac	ENCFF037SCG.bam
TrColon	DHS	ENCFF629OKO.bam
TrColon	H3K27ac	ENCFF399RUK.bam
PC9	H3K27ac	ENCFF824HIQ.bam
PC9	DHS	ENCFF589MGU.bam
stomach_male_adult	DHS	ENCFF184XKI.bam
stomach_male_adult	H3K27ac	ENCFF710FQT.bam
thymus_female_fetal_110-113_days	DHS	ENCFF719KCS.bam
thymus_female_fetal_110-113_days	H3K27ac	ENCFF809UKI.bam
AG04450	DHS	ENCFF172LZS.bam
AG04450	H3K27ac	ENCFF047GDD.bam
Panc1	H3K27ac	ENCFF125NMY.bam
Panc1	DHS	ENCFF556JGQ.bam
SKNMC	H3K27ac	ENCFF814JSE.bam
SKNMC	DHS	ENCFF440KYQ.bam
