	chr	start	end	TargetGene	PctChange	Significant	Regulated	IncludeInModel	CustomTargetGeneTSS	strand	PrimaryTissue	NeighborhoodCellLine	PerturbMethod	Clonality	RNAReadoutMethod	Reference	Notes	Reason	nKO	semKO	nCtrl	semCtrl	lfcSE	padj	ClassAnnotation	nTests	PowerAtEffectSize=0.1	PowerAtEffectSize=0.2	PowerAtEffectSize=0.25	PowerAtEffectSize=0.5	CellType	TargetGeneTSS	region.id
0	chr8	128911142	128911209	MYC	-0.35884	True	True	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study			2.0	0.007516774	13.0	0.005971433000000001		2.4399999999999998e-11		8.0	1.0	1.0	1.0	1.0	K562		
1	chr8	128972637	128972748	MYC	-0.63593	True	True	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study			2.0	0.009993433000000001	13.0	0.005971433000000001		3.73e-14		8.0	0.9999999909999999	1.0	1.0	1.0	K562		
2	chr8	129057457	129057958	MYC	-0.39174000000000003	True	True	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study			2.0	0.05928856	13.0	0.005971433000000001		8.24e-10		8.0	0.7942072790000001	0.9937777459999999	0.999578643	1.0	K562		
3	chr8	129061537	129061789	MYC	-0.14857	True	True	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study			2.0	0.068655169	13.0	0.005971433000000001		5.08e-05		8.0	0.739737128	0.9818526940000001	0.997592446	1.0	K562		
4	chr8	130594026	130594707	MYC	-0.19013	True	True	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study			2.0	0.004870084	13.0	0.005971433000000001		2.16e-08		8.0	1.0	1.0	1.0	1.0	K562		
5	chr8	130701606	130701940	MYC	-0.25125	True	True	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study			2.0	0.013344977	13.0	0.005971433000000001		1.32e-09		8.0	0.9999956059999999	1.0	1.0	1.0	K562		
6	chr8	130704704	130705463	MYC	-0.22305	True	True	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study			2.0	0.058664754000000006	13.0	0.005971433000000001		3.12e-07		8.0	0.798091674	0.9943076359999999	0.9996356959999999	1.0	K562		
7	chr8	130594026	130594707	PVT1-TSS1	-0.030062000000000002	False	False	True	129057561.0	*		K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study			2.0	0.040439431	13.0	0.00498487		0.105553545		8.0	0.934475398	0.9999631840000001	0.9999998959999999	1.0	K562		
8	chr8	130701606	130701940	PVT1-TSS1	-0.0501	True	True	True	129057561.0	*		K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study			2.0	0.005830686	13.0	0.00498487		0.002576425		8.0	1.0	1.0	1.0	1.0	K562		
9	chr8	130704704	130705463	PVT1-TSS1	-0.053507000000000006	True	True	True	129057561.0	*		K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study			2.0	0.019316952	13.0	0.00498487		0.002576425		8.0	0.99973145	1.0	1.0	1.0	K562		
10	chr8	128911142	128911209	CCDC26	0.028712	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study			2.0	0.020819556	13.0	0.007589679		0.24956773100000001		8.0	0.9933207629999999	1.0	1.0	1.0	K562		
11	chr8	128972637	128972748	CCDC26	0.16038029999999998	True	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study			2.0	0.025622105	13.0	0.007589679		8.62e-06		8.0	0.97798405	0.9999999959999999	1.0	1.0	K562		
