chr9	134000722	134001222	NUP214	0	+	NM_001318324
chr22	19467098	19467598	CDC45	0	+	NM_001178010
chr22	21355960	21356460	THAP7-AS1	0	+	NR_027052
chr1	110881543	110882043	RBM15-AS1	0	-	NR_036595
chr7	129844996	129845496	TMEM209	0	-	NR_156699
chr3	14693002	14693502	CCDC174	0	+	NR_135523
chr22	22901422	22901922	PRAME	0	-	NM_006115
chr22	21356154	21356654	THAP7	0	-	NM_001008695
chr18	3247277	3247777	MYL12A	0	+	NM_006471
chr1	45196590	45197090	RNU5D-1	0	-	NR_002755
chr1	110881694	110882194	RBM15	0	+	NM_022768
chr9	123604950	123605450	PSMD5	0	-	NM_005047
chr19	42772438	42772938	CIC	0	+	NM_001304815
chr12	54674259	54674759	HNRNPA1	0	+	NR_135167
chr7	139044341	139044841	LUC7L2	0	+	NM_001270643
chr7	139024945	139025445	FMC1	0	+	NR_073059
chr16	30934340	30934840	FBXL19-AS1	0	-	NR_024348
chr6	136610734	136611234	BCLAF1	0	-	NM_001363659
chr6	32145635	32146135	AGPAT1	0	-	NM_032741
chr6	44355192	44355692	CDC5L	0	+	NM_001253
chr1	144994832	144995332	PDE4DIP	0	-	NM_001195261
chr3	37034758	37035258	MLH1	0	+	NM_000249
chr6	43597028	43597528	MAD2L1BP	0	+	NM_001003690
chr22	21271444	21271944	CRKL	0	+	NR_156180
chr6	44214587	44215087	HSP90AB1	0	+	NM_007355
chr1	212208644	212209144	DTL	0	+	NM_001286229
chr1	212208649	212209149	INTS7	0	-	NM_015434
chr22	22901499	22901999	LL22NC03-63E9.3	0	+	NR_027426
chr19	50380394	50380894	AKT1S1	0	-	NM_032375
chr19	10764298	10764798	ILF3-DT	0	-	NR_024333
chr9	123605102	123605602	CUTALP	0	+	NR_152406
chr22	19419817	19420317	MRPL40	0	+	NM_001318151
chr4	52942	53442	ZNF718	0	+	NR_110527
chr1	151254155	151254655	ZNF687-AS1	0	-	NR_135595
chr22	21996340	21996840	SDF2L1	0	+	NM_022044
chr4	52928	53428	ZNF595	0	+	NM_001286052
chr16	30669501	30670001	FBRS	0	+	NM_001105079
chr22	22020050	22020550	PPIL2	0	+	NM_148175
chr1	234859538	234860038	LINC01132	0	+	NR_038856
chr2	88927096	88927596	EIF2AK3-DT	0	+	NR_135540
chr7	135242414	135242914	NUP205	0	+	NM_015135
chr11	63741841	63742341	COX8A	0	+	NM_004074
chr12	50135089	50135589	TMBIM6	0	+	NM_003217
chr2	176032681	176033181	ATF2	0	-	NR_045770
chr1	154946906	154947406	CKS1B	0	+	NM_001826
chr6	30584770	30585270	PPP1R10	0	-	NR_072994
chr22	22874363	22874863	ZNF280A	0	-	NM_080740
chr6	26285512	26286012	H4C8	0	-	NM_003543
chr1	11967960	11968460	RNU5E-1	0	+	NR_002754
chr22	21984061	21984561	YDJC	0	-	NM_001371350
chr6	26123904	26124404	H2BC4	0	-	NM_003526
chr6	27806096	27806596	H2BC15	0	+	NM_003520
chr1	201924380	201924880	TIMM17A	0	+	NM_006335
chr2	70520622	70521122	SNRPG	0	-	NM_003096
chr1	154946602	154947102	SHC1	0	-	NM_003029
chr1	24306567	24307067	SRSF10	0	-	NM_001191006
chr1	28974861	28975361	RNU11	0	+	NR_004407
chr6	30684808	30685308	MDC1	0	-	NM_014641
chr6	31633389	31633889	GPANK1	0	-	NM_001199238
chr3	37034372	37034872	EPM2AIP1	0	-	NM_014805
chr6	31633406	31633906	CSNK2B	0	+	NM_001282385
chr11	71823491	71823991	ANAPC15	0	-	NM_001278485
chr3	44481140	44481640	C3orf86	0	-	NM_001375996
chr19	59084452	59084952	MZF1	0	-	NM_001267033
chr20	54967176	54967676	CSTF1	0	+	NM_001033521
chr1	41157125	41157625	NFYC	0	+	NM_001142589
chr21	30396738	30397238	USP16	0	+	NM_006447
