chr9	134000972	134110050	NUP214	0	+	NM_001318324
chr22	19467348	19508135	CDC45	0	+	NM_001178010
chr22	21356210	21357561	THAP7-AS1	0	+	NR_027052
chr1	110828998	110881793	RBM15-AS1	0	-	NR_036595
chr7	129804552	129845246	TMEM209	0	-	NR_156699
chr3	14693252	14714166	CCDC174	0	+	NR_135523
chr22	22890122	22901672	PRAME	0	-	NM_006115
chr22	21354060	21356404	THAP7	0	-	NM_001008695
chr18	3247527	3256235	MYL12A	0	+	NM_006471
chr1	45196740	45196840	RNU5D-1	0	-	NR_002755
chr1	110881944	110889303	RBM15	0	+	NM_022768
chr9	123578331	123605200	PSMD5	0	-	NM_005047
chr19	42772688	42799948	CIC	0	+	NM_001304815
chr12	54674509	54680871	HNRNPA1	0	+	NR_135167
chr7	139044591	139108203	LUC7L2	0	+	NM_001270643
chr7	139025195	139031065	FMC1	0	+	NR_073059
chr16	30930639	30934590	FBXL19-AS1	0	-	NR_024348
chr6	136577764	136610984	BCLAF1	0	-	NM_001363659
chr6	32135988	32145885	AGPAT1	0	-	NM_032741
chr6	44355442	44418162	CDC5L	0	+	NM_001253
chr1	144951760	144995082	PDE4DIP	0	-	NM_001195261
chr3	37035008	37092337	MLH1	0	+	NM_000249
chr6	43597278	43608688	MAD2L1BP	0	+	NM_001003690
chr22	21271694	21308035	CRKL	0	+	NR_156180
chr6	44214837	44221620	HSP90AB1	0	+	NM_007355
chr1	212208894	212278348	DTL	0	+	NM_001286229
chr1	212113744	212208899	INTS7	0	-	NM_015434
chr22	22901749	22909004	LL22NC03-63E9.3	0	+	NR_027426
chr19	50372289	50380644	AKT1S1	0	-	NM_032375
chr19	10762537	10764548	ILF3-DT	0	-	NR_024333
chr9	123605352	123616651	CUTALP	0	+	NR_152406
chr22	19420067	19423596	MRPL40	0	+	NM_001318151
chr4	53192	196095	ZNF718	0	+	NR_110527
chr1	151252499	151254405	ZNF687-AS1	0	-	NR_135595
chr22	21996590	21998588	SDF2L1	0	+	NM_022044
chr4	53178	88099	ZNF595	0	+	NM_001286052
chr16	30669751	30682131	FBRS	0	+	NM_001105079
chr22	22020300	22054304	PPIL2	0	+	NM_148175
chr1	234859788	234867390	LINC01132	0	+	NR_038856
chr2	88927346	88931343	EIF2AK3-DT	0	+	NR_135540
chr7	135242664	135333499	NUP205	0	+	NM_015135
chr11	63742091	63744015	COX8A	0	+	NM_004074
chr12	50135339	50158717	TMBIM6	0	+	NM_003217
chr2	175936986	176032931	ATF2	0	-	NR_045770
chr1	154947156	154951727	CKS1B	0	+	NM_001826
chr6	30568189	30585020	PPP1R10	0	-	NR_072994
chr22	22868060	22874613	ZNF280A	0	-	NM_080740
chr6	26285353	26285762	H4C8	0	-	NM_003543
chr1	11968210	11968329	RNU5E-1	0	+	NR_002754
chr22	21982378	21984311	YDJC	0	-	NM_001371350
chr6	26123694	26124154	H2BC4	0	-	NM_003526
